cantonese,english,beam
我明天早上十点带她来,I'll have her here tomorrow morning at ten o'clock without fail.,
请随便享用,"In the meantime, be my guests.",
全中,Strike.,
一定是这里了,This must be the place.,
谢谢你,Thank you.,
先生，芝芝想跳舞,"Monsieur, Gigi would like to dance.",
芝芝是谁？,- Who's Gigi?,
我是芝芝,- I am Gigi.,
改天吧，我来接太太和孩子,Some other time. I just stopped by to pick up the wife and kids.,
好味道的东西都没有营养,All that is delicious is not nutritious.,
贪婪的...,"Avaricious, av...",
我觉得有种敌意的感应,I feel a hostile vibration.,
那是我，对不起,That'll be me. Sorry.,
他做了很久吗？,Has he been that way long?,
三小时，是集中精神的至高境界,Three hours. It is the ultimate in concentration.,
停下来就很舒服,Feels so good when you stop.,
我深信在不足十年内... 人们会明白共鸣论才能达致和平,"I have no doubt in my mind that in less than ten years, people everywhere will know that only empathicalism can bring peace.",
靠了解达致和平是唯一真正...,Peace through understanding is the only real...,
你好吗？,"Well, hello, how are you?",
很好，谢谢，你呢？,"Just fine, thank you. How are you?",
你来了巴黎多久？,How long have you been in Paris?,
这是颜先生，这些是我的朋友,This is Mr Avery. These are my friends.,
你们好吗？,"How do you do, boys?",
可介意我单独跟这位小姐谈谈？,Would you mind if I had my own conversation with this lady?,
他们不懂英语 你在说英语,- They don't understand English. - You were talking English.,
很难解释的，是共鸣论的一部分,"It's hard to explain, but it's all part of empathicalism.",
我们不必用言语沟通,We don't have to communicate with words.,
他们通过我的感觉和声调理解我,"They understand me through the way I feel, and the tone of my voice.",
有点像狗 很明显你不明白,"- Sort of like a dog? - Obviously, you don't understand!",
谁请客？,Who's buying the wine?,
是我 我比你想像的更明白,- I am. - I understand more than you think!,
若你说那酒...,- If you're saying that the wine...,
给你看点东西,- Let me show you something.,
各位，你们像一班可怜虫,"Gentlemen, may I tell you that you look like a mess of worms?",
不单只像，你们简直就是可怜虫,"And that you not only look like, but you are, a mess of worms.",
我肯定你们在这里很多年 因为你们一走就会因流浪而被捕,"I'll bet you've been here all these years because if you left, you'd be picked up for vagrancy.",
很精彩 你不辩护了,- Bravo. - Your defence rests.,
不是很有趣，你不属于这里,This isn't funny. You don't belong here.,
你也不是，这正是我来的原因,"Neither do you, which brings us to why I'm here.",
先生，跟美美跳舞吗？,"Monsieur, you dance with Mimi?",
不了，我很忙，芝芝没告诉你？,"No, thanks, I'm busy. Didn't Gigi tell you?",
那样很无礼，拒绝跟美美跳舞,"That's very rude, refusing to dance with Mimi.",
我的国家是男士邀请女士跳舞的,"Where I come from, the man asks the girl to dance.",
你一定是来自石器时代的了,You must come from the Stone Age!,
这里思想开放，女士可随意邀舞,"We think freely here. If a girl wants to dance with a man, she asks him.",
我们不受过时的习俗约束,We're not inhibited by outmoded social conventions.,
我明白，你可有邀请男士跳舞？,I can see that. Do you ask men to dance with you?,
是时候你该明白 跳舞只是一种表达和释放的手法,Isn't it time you realised that dancing is nothing more than a form of expression or release?,
不需要拘谨或者造作,There's no need to be formal or cute about it.,
事实上，我现在想表达自己,"As a matter of fact, I rather feel like expressing myself now.",
也可以释放一下,And I could certainly use a release.,
你真是交游广阔和有影响力,"Well, you certainly made friends and influenced people.",
他们是共鸣学家,They're empathicalists.,
你老是说着共鸣，可有亲身体验,You talk a lot about this empathy. Ever do anything about it yourself?,
我不明白你的意思,I don't know what you mean.,
何不向我传送共鸣 我不明白,- Why not throw some empathy my way? - I still don't know what you mean.,
你没出现时可知道我的感受？,How do you think I feel when you don't show up for the job?,
我要为你负责的,I'm responsible for you.,
共鸣学家该感到我要找失业保障,An empathicalist should feel me asking for unemployment insurance.,
在哪里出现？,Show up where?,
他们在杜那里等了你一天,They've been waiting for you at Duval's all day.,
我不知道，没有人告诉我,I had no idea. Nobody told me.,
我们打了几小时电话找你,We've been calling you on the telephone for hours.,
我整天在咖啡室里，对不起,I've been at the cafe all day. I'm terribly sorry.,
我不想说得像人事部的语气 你该早点上床，摄影机不留情的,"Now, I don't want to sound like the personnel department, but you ought to get to bed early.",
我不想一辈子修饰你的照片,I don't want to spend my entire life retouching your pictures.,
工作完后你可以尽情闲聊,"When we're finished, you can spend all your time making small talk.",
闲聊？,Small talk?,
你以为裙子的领口... 才会引发震惊世界的言论？,I suppose you think the neckline of a dress makes for world-shaking conversation?,
你不理解的事情就叫做闲聊,"Anything you don't understand, you call small talk.",
你觉得霍怎样？,- What do you think of Flostre?,
别转换话题,- Don't change the subject.,
是一样的话题 我没见过霍,- It's the same subject. - I haven't met Flostre.,
没有？,You haven't?,
我以为你们已是老友,By now I thought you two'd be buddies.,
霍不去咖啡室的，除了特别活动,"You don't find Flostre in cafes, except on special occasions.",
不是研究共鸣的人都见过他的 也不是每个美国人都见过总统,"Not everyone interested in empathicalism meets him, any more than every American meets the President.",
获邀请到霍家是很大的荣幸 就像难得获邀请到...,"An invitation to Flostre's home is a great honour, and as hard to get as an invitation to...",
白宫,The White House.,
拿霍来开玩笑不是很有趣,I don't think jokes about professor Flostre are funny.,
好吧，我们友善点，我们要合作,No more jokes. But let's be friendly. We have to work together you know.,
合作无须友善，相识就行了,You don't have to be friendly to work together. Acquainted will do.,
现在我要去杜那里？,Am I supposed to go over to Duval's now?,
我说你会在早上十点半过去,I said you'd be there at 10:30 in the morning.,
我会去的 答应吗？,- I'll be there. - Promise?,
我说我会去就是了,"I said I'd be there, and I will.",
好的 我走了,"- Alright. - This is where I get off, good night.",
等一会，不要生气,Wait a minute. Don't go away mad.,
可否去散步，友善或相识一下？,"Can't we walk and get friendly, or better acquainted, or something?",
不，谢谢，我要睡觉了,"No, thanks. I've got to go to bed.",
我不想你一辈子修饰我的照片,I don't want you spending your life retouching my pictures.,
你是生气吧？,"You are mad, aren't you?",
我没有生气，我...,"No, I'm not mad, I...",
我是伤心失望... 和生气,"I'm hurt, and disappointed, and... ..and mad.",
他们做了几个小时,What are they doing? They've been in there for hours!,
有很多事情要做的,There was a lot to be done.,
他们像不高兴 也不是不高兴,- They don't look happy. - They don't look unhappy.,
我看不出，他们看似满意吗？,I can't tell. Do they look pleased?,
不像不满意 各位,- They don't look displeased. - Everyone.,
压轴表演 我很紧张,- Maybe this is the grand finale. - I'm getting nervous.,
你应该紧张的 坐下,- You should. - Sit down.,
各位看到一条平庸的毛虫走进来,"My friends, you saw enter here a waif, a gamin, a lowly caterpillar.",
虫茧破开，冒出来的不是蝴蝶,We open the cocoon but it is not a butterfly that emerges.,
不是？,- It's not?,
不是，是一只天堂鸟,"- No, it is a bird of paradise.",
开灯,Lights!,
开幕,Curtain!,
很美，难以置信 我说过什么,"- Beautiful! I don't believe it. - Maggie, what did I tell you?",
你漂亮极了，感觉怎样？,You look absolutely fabulous. How does it feel?,
很好，但这不是我,"It feels wonderful, but it's not me.",
那发型、裙子都很完美,"The hair, the dress. It's perfection.",
你看到我们下的一番心血吧？,You see how much we accomplish when you appear?,
留下来吧，周五杜会展出那系列,Try to stay with us for a while. Duval shows the collection on Friday.,
周四晚我们会介绍你给传媒认识,"The night before, we'll introduce you to the press.",
这是你的机会，是你的一晚,It is your great opportunity. It will be your evening.,
你会来吧？,- You will be there?,
当然会的,"- Yes, of course.",
迪克，你有一周时间替她拍照,"Dick, that gives you a week to photograph her.",
我要漂亮、有气派的照片,I want marvelous pictures. Give me a lot of pizzazz.,
带她去吧，别让她离开你的视线,"Take her, and whatever you do, don't let her out of your sight.",
照我的说话做，放心吧,"Now, just do what I tell you. Don't worry about it.",
高举那些汽球，我说跑时... 你就奔跑，不要放走汽球,"Now here, hold these balloons high in the air, and when I say ""run"", run as fast as you can and don't let the balloons go.",
奔跑和不要放走汽球,Run as fast as I can and don't let the balloons go.,
对，准备好了吗？,"Right. Now, ready?",
轻轻抬起头，你很开心,Head up a little. You're so happy.,
好，跑,"Alright, run!",
跑！ 什么？,Run!,
为何我总是...,"What? Oh, why did I ever... - What's wrong?",
有什么问题？ 我该跑到哪里,- I don't know which way to go.,
那边,That way.,
抱歉，我很紧张，我从没做过,"I'm sorry, I'm terribly nervous. I've never done anything like this.",
不用紧张，你在巴黎的杜伊勒利,"There's nothing to be nervous about. You're in Paris, the Tuileries.",
你拿着汽球，突然下雨你很开心,You've got balloons. There's a sudden shower. You're very happy.,
我为何开心？,- Why am I so happy?,
因我说你开心,- Because I say you are.,
你只须知道这个，你开心，跑吧,"That's all you have to know. You're happy. Now, run!",
好，很好,Great. That's great.,
停！,"Now, stop!",
好极了,Wonderful!,
今天你不开心,"Now listen closely, today you're not happy.",
我很伤心...,- I'm hurt and...,
一个悲惨的人,"- Right, now you're a creature of tragedy.",
心碎、难过，你是安娜卡莲娜,"Heartbroken, suffering. You're Anna Karenina.",
我可要跳到火车底？,Shall I throw myself under the train?,
看吧，要美妙、崇高的自我牺牲,"We'll see. For now, just wonderful, noble self-sacrifice.",
你的爱人刚跟你吻别,Your lover has just kissed you goodbye.,
你可能再感受不到那个吻和爱情,"You may never know that kiss again, or love again.",
马塞，加点泪水在她眼里,"Marcel, put some tears in her eyes.",
她已经眼泛泪光了,There are tears in her eyes.,
你不单是个模特儿，还会演戏,"Good. You're not only a model, you're an actress.",
采，来吧，伤心、渴望、凄惨,"Jo, give me the works. Heartbreak, longing, tragedy.",
弄湿嘴唇,Wet your lips. Good.,
好，喷蒸气 蒸气,"Alright. Now, la steam! La steam!",
很好，像电影一样,That's great. Just like the movie.,
可怜的安娜卡莲娜,Poor Anna Karenina.,
不要太多蒸气,"No, not too much steam.",
少一点蒸气，很好，对了,Cut down the steam. That's wonderful. That's it.,
好，给她一些花，满怀的花,Good. Now give her some flowers. Flowers.,
好，再来...,Alright. More. More.,
采，现在是春天，你在恋爱,"Alright, Jo, it's spring. You're in love.",
转身，好极,"Now, turn around. Fabulous!",
你正步出歌剧院 沉醉于特里斯坦与伊索尔达之爱,"Now, you're walking out of the opera, leaving to the lush passionate music of Tristan and Isolde.",
你很不开心 现在又怎样？,- You're very unhappy. - What happened now?,
在歌剧院有个约会，两个座位,A rendezvous at the opera. Two seats.,
他没有来，你很生气,He didn't show up. You're furious.,
我说走时，你怒气冲冲的下来,"When I say go, walk down with fire in your eyes and murder on your mind.",
弄湿嘴唇,Wet your lips.,
你是伊索尔达皇后，走...,"You're Isolde. You're a queen. Now, go, go, go!",
你很生特里斯坦的气,You're furious at Tristan.,
很好,That's great.,
今天你只是个普通女孩,"Today, you're just a simple little girl.",
你住在塞纳河上，想钓鱼做午餐,"You live on the Seine river, and you're trying to catch a fish for your lunch.",
采，钓鱼，你要做得像样点,"Jo, fish! I want you to look like you're fishing.",
我在尝试，但我从没钓过鱼,"I'm trying, but I've never fished before.",
当然了，不如你放风筝好了,That's quite obvious. You might just as well be flying a kite.,
别那么外行的样子,Don't look like such an amateur.,
你不是在钓鱼,You're just not fishing!,
我是的，有东西上钓,"I am, but it's caught on something.",
拉它上来,"Well, give it a yank.",
假装你钓到一条鱼，拉它上来,Pretend you caught a fish. Pull it out.,
好极了,Marvelous!,
我想你 我知道，我是个公主,- Here's what I want you to be. - I know. I'm a princess at a ball.,
那鸟儿是受了巫师咀咒的王子,"The bird is really Prince Charming, turned into a bird by a wicked sorcerer.",
但我们不想让它令舞会扫兴 就若无其事的继续跳舞,But we've decided not to let it spoil the ball and to go on dancing as if nothing had happened.,
你比我更出色了,You've outgrown me.,
现在吻他一下,"Alright. Now, give him a kiss.",
他是你的白马王子，开心一点,"He's your Prince Charming, isn't he? Well, get happy!",
好极了,That's a killer.,
马塞，灯光,"Alright, Marcel, lights!",
采，你在哪里？,"Jo! Jo, where are you?",
"你准备好就说""走""吧","Tell me when you're ready. Say ""go"".",
我准备好了，你想怎样？,I'm ready. What are you gonna do?,
"别理会我会怎样，说""走""吧","Never mind what I'm going to do. Just say ""go"".",
好，走,Alright. Go!,
天啊，你很漂亮,Holy Moses! You look fabulous!,
停,"Look, stop.",
停,Stop!,
不行，快拍照 停,- I can't stop. Take the picture. - Stop!,
我不想停，我喜欢这样，快拍,I don't want to stop. I like it. Take the picture.,
这是你的婚礼，你最快乐的一天,"Alright, this is your wedding day, the happiest day of your life.",
钟声响起，花儿盛放，天使高歌,"Bells are ringing, flowers blooming, angels singing.",
你深爱的男人在教堂里等你,The man you love more than anyone is inside the church waiting for you.,
有什么问题？,What's the matter?,
我穿着这件婚纱感到很虚伪,I just feel so dishonest standing here in this wedding dress.,
不是我快乐的一天，没有人等我,It's not the happiest day of my life. And there's no one's waiting for me anywhere.,
但你以前的造型也是虚构的,But you weren't Anna Karenina. The bird wasn't Prince Charming.,
求求你 我不明白,"- Please, Dick. - I don't understand.",
我明白,"Yes, I know.",
神父，我们不是来结婚的,"I'm afraid you got us wrong Padre, we're not here to get married.",
漂亮的新娘 这不是我的婚纱,- Such a beautiful bride. - This is not my dress.,
我们来拍照的,We're here to take some pictures.,
抱歉，我们该先征求你的同意,Perhaps we should've asked your permission first.,
没有婚礼？,No wedding?,
多可惜,"Aah, quel dommage!",
谢谢,Merci.,
采,Jo!,
抱歉，我不知道，我有何问题,I'm terribly sorry. I don't know what's the matter with me.,
算了吧，我们工作得太辛苦了,Forget it and relax. We've been working too hard.,
我们快回家了吧？,I suppose we'll be going home soon?,
对了，你想家,That's it. You're probably homesick.,
拍完最后这辑照片就完工了,"Well, just this last picture, then you'll be through.",
然后怎样？,- And then what happens?,
我们回家去,- We go home.,
然后呢？,And then? What do you mean?,
什么意思？ 我可会再见到你？,Will I see you any more?,
若你当模特儿，我可替你找工作,"And how! If you model, I can get you all the bookings you can handle",
我们每天合作 我会当模特儿,- We'd be working together every day. - I'll model. Good.,
好，我们会给你工作,We'll put you to work right now.,
站在这里，这是个好位置，好,"Stand here, please. There's a good place. Fine.",
很好,Lovely.,
微微侧起头,"Now, tip your head just a little bit.",
好，微笑,Good. A little smile.,
采,Jo. Yes?,
什么？ 确是有问题,Something is wrong.,
没有，为什么？,Why?,
你是我所见的最悲伤的新娘,You're the saddest looking bride I've ever seen.,
好像你被爱人抛弃似的,You look as if you've been jilted.,
这是你的婚礼,This is your wedding day.,
你梦想的一天，你要嫁给爱人了,The day you've dreamt of all your life. You're marrying the man you love.,
深爱着你的人,The man who loves you. He's the only...,
他是唯一的... 而你是...,And you're...,
我以为这件事永不会发生,"Oh Dick, I thought it would never happen.",
我不想回家，我爱巴黎,I never want to go home. I love Paris!,
我爱这些衣服和教堂，我爱你,I love these clothes and the little church. And I love you.,
你说什么？,What did you say?,
我爱巴黎,I love Paris.,
我刚才不是听到这个,That's not what I heard.,
我的天,"My, my, my...!",
真想不到,"Well, what do you know!",
雅雯，在树上吹点微风,"Armande, let me see a breeze in the trees.",
不要太强劲，我不要旋风,Not too much. I don't want a cyclone.,
喷泉,Fountains.,
真兴奋，它令我想大叫,It's thrilling! It makes me cry for the Carolines.,
巴基斯坦的通讯员答应出席了,The correspondent from Pakistan has just accepted.,
马德里的通讯员会出席,The correspondent from Madrid finally will be able to make it after all.,
伊斯坦堡那个人会来看表演,And the man from the Istanbul press will be at the presentation. Good.,
很好，采去了哪里？,"Now, where on earth is Jo?",
她来了,Here she is.,
谢天谢地，我以为你又失约了,Thank heavens. I thought you'd stand us up again.,
婚纱照拍得怎样？,- How did the wedding pictures go?,
很好,- Wonderfully.,
他是个出色的摄影师,"Yes, he's a marvelous photographer. All you have to do is sit there.",
你只要坐着，我向传媒致词 帐幕升起，你就令他们惊叹,"I make my speech to the press, the curtains will open and you dazzle 'em!",
给他们那股气派 我会尽力,- Give 'em the old pizzazz. - I'll try.,
我会介绍你给他们认识,"Afterward, I will introduce you to them personally.",
要迷人一点和解答他们的问题,Be charming and answer all of their questions.,
什么类型的问题？,"- Well, what sort of questions?",
很简单的,- It's remarkably simple.,
多年来我写过有关它的评论,I've been written editorials on it for years.,
身为一个女士...,As one lady to another...,
我们应该惺惺相惜的,We ought to look like one lady to another.,
他们想知道谁替你弄发型... 你的饮食习惯，你睡什么床单,"They'll want to know who does your hair, what you eat, drink, what sheets you sleep on.",
你是打扮的权威,You're the authority on how to be lovely.,
我要对他们说什么？,What am I going to tell them?,
听着，重复跟我说,Just listen and repeat after me.,
很漂亮！,"Ah, beautiful!",
这些不是我的衣服,These are not my clothes.,
为了今晚我首次见传媒而借的,They were lent me for tonight. I'm being presented to the press. Alors!,
你的照片会出现在每一份报纸？,Your picture will be in all the newspapers?,
是，他们还会问我很多问题,"Oh, yes. And they'll ask me all sorts of questions.",
天,Oh!,
你还是留下来陪我好了,"I think perhaps you had better stay here with me, huh?",
你们好,Hello!,
记得我吗？,Don't you remember me? Jo Stockton?,
施采,C'est Jo!,
他们说霍奕谋什么？,What were they saying about Flostre?,
他会在咖啡室演讲，他们迟到了,That he is speaking at the café and that they are late.,
颜先生五分钟后会到来,Mr Avery will be by in five minutes.,
叫他去咖啡室接我吧,Will you ask him to pick me up at the cafe?,
对不起，先生,"Pardon, monsieur.",
我是... 很抱歉,Je suis... terribly sorry.,
我...,- I...,
不要紧，小姐,"- Quite alright, mademoiselle.",
欢迎你,You're quite welcome.,
小姐,"Now, mademoiselle.",
我不能相信，我以为你很老,I can't believe it. I thought you'd be old!,
我是指一个哲学家和教授,"Well, I mean, a philosopher and professor.",
该是很老，我是指成熟,"It all suggests age. I mean, maturity.",
恐怕我令你失望了,I'm afraid I've disappointed you. Not at all.,
没理由杰出的人不可以是年轻的,There's no reason why someone brilliant shouldn't be young.,
我觉得我处于不利的位置,I find myself at an awkward disadvantage.,
你知道我是谁,You know who I am.,
除了你很迷人，我对你一无所知,"But except that you are very charming, I don't know you.",
我见到你很兴奋，忘了自我介绍,"I'm so excited about meeting you, I forgot to introduce myself.",
要是你知道我多渴望跟你交谈,If only you knew how anxious I am to talk to you.,
我是从纽约来见你的,I came from New York just to see you!,
我是你忠实的共鸣论信徒,You couldn't have a more loyal disciple of empathicalism than I.,
即是谁？,- Than whom?,
抱歉，我是施采,- I'm sorry. I'm Jo Stockton.,
施小姐，幸会,"I'm enchanted,... Miss Stockton.",
既然你远道而来要跟我交谈 那我们就谈吧,"And since you've come such a long way to talk with me, by all means, let's talk.",
有很多东西你可以教我们的,..there's so much you can teach us.,
我明年或会去的,I may go next year.,
你要来看看格林威治村,You must see Greenwich Village. It's our Left Bank.,
那里的人懂思考和做有用的事,"People there think, and do things. Useful things.",
你住在格林威治村？,- Do you live in Greenwich Village?,
是的,- Of course.,
那我会来，我们一起做有用的事,Then I will certainly come. Perhaps we can do useful things together.,
我肯定全美国都没有共鸣学者... 像你这么漂亮的,I'm sure that in all America there's no empathicalist as charming as you.,
我不想打扰的...,"Well, I hate to throw a wet blanket...",
亲爱的，你猜不到这个人是谁的,"Darling, guess who this is. You'll never guess!",
你的兄弟？,- Your brother?,
是霍教授,- Professor Flostre.,
颜迪克 教授？,- This is Dick Avery. - Professor?,
我以为你很老,I thought you'd be old.,
我也是，你惊奇吗 惊奇得很,- So did I. Aren't you surprised? - I'm overcome.,
为了你，我答应永不变老,"For you, my dear, I promise never to grow old.",
采，来吧 什么事？,"- Come on, Jo. - What's the matter?",
我们要去杜那里,We've got to get over to Duval's.,
你要走了？,Must you go so soon?,
我刚开始认识你,I was just beginning to know you.,
我可否留下？,Couldn't I stay?,
教授想跟我谈,The professor wants to talk to me.,
你以前都听过了 你疯了吗？,- You've heard it all before. - Have you lost your mind?,
稍后再谈那个吧 你干什么？,- We'll talk about that later. - What are you doing?,
我从没受过这么大的羞辱,I've never been so humiliated in all my life!,
你怎么了？,What's got into you?,
你知不知道...,Have you any idea...,
你怎可以这样粗鲁？,How could you be so rude?,
在霍教授面前令我尴尬,Embarrassing me in front of Professor Flostre!,
我怎样对他解释？,What am I going to tell him?,
什么也不用说，你不会再见到他,You're not gonna tell him anything. You'll never see him again.,
不会再见到他？,- Not going to see him again? - That's what I said.,
不错 等一会...,"Now, just a moment...",
我千辛万苦来见这个人,I went through all this nonsense to meet this man.,
所以我可以跟他谈话,So I could talk to him.,
我崇拜他的一切，他的思想,I worship everything he stands for. The way he thinks.,
不如你叫我永不吃东西好了,You might as well tell me never to eat again.,
先驱报派了个瑞典通讯员到来,The man from Herald Tribune has brought a correspondent from Sweden.,
越多越好 他们来了,"- The more the merrier. - They are here, Miss Prescott.",
叫他们肃静，我很快回来,"Get them quiet, Duval. I'll be right back.",
当男人像霍望着你般看女人时...,"When a man looks at a woman the way Flostre looks at you, it doesn't take any imagination...",
若你不这么认真，这事会很有趣,"If you weren't so serious, this would be terribly funny.",
我会检查灯光，然后致词,"I'll check the lights, then I make my speech.",
大家准备,"Everybody, ready!",
霍可能是个天才... 继亚里士多德后最伟大的哲学家,"Flostre may be the quiz kid of the centure, the greatest philosopher since Aristotle.",
但他也是个男人，不单是哲学家,But he's also a man. He's more man than philosopher!,
他对我的兴趣只限于学术性？,Are you suggesting that Flostre's interest in me is anything but intellectual?,
他跟我一样对你的才华感兴趣,He's as interested in your intellect as I am.,
各位传媒界的朋友...,"Ladies and gentlemen of the press, my friends.",
我邀请各位认识这位被选的女士 她会代表时装刊物翘楚... 优秀,"I have asked you here to meet the woman selected to represent the most discriminating publication in the world, Quality.",
我们忘记这件事，完成工作吧,Let's forget it and get this over with.,
忘记它？,Forget it?,
攻击霍就是攻击我的信念,Attack Flostre and you attack the things I believe in.,
幸好我们现在发现这些歧见,We're fortunate to have found out these things now.,
我肯定各位不会失望,I'm certain you'll not be disappointed.,
她很独特...,She is a rare creature...,
从数百人中挑选出来 她拥有美貌、高雅、大方... 不可言喻的气质,"chosen from hundreds for her appearance, her grace, her poise... and her ineffable charm.",
我们永远不能调解我们的分歧,We can never reconcile our differences.,
它们太基本了,They are too basic and too elemental.,
这不是讨论我们分歧的时候,This is not the time or place to discuss our differences.,
求你表演吧,"Please, let's get this show on.",
表演，我们的个人生活并不重要,"Yes, the show! Our personal lives couldn't matter less, could they?",
你坐下来好吗？ 别管我,- Would you please sit down?,
现在为大家介绍优秀女郎,May I present the Quality Woman!,
那是代表什么？,What does that one say?,
巴黎所有人都异口同声地大笑,All of them say the same thing. Everyone in Paris is laughing.,
我没有 这全是你的错,"- I'm not. - I should think you wouldn't be, this is all your fault.",
我知道，我讲错说话，她很生气,I know. I said some things last night I shouldn't have said. She got upset.,
情侣间争吵罢了 什么？,- Just a lovers' quarrel. - A what?,
你和那个女孩...,"- You mean, you and that girl...",
有何不可？,- Why not?,
不可能的，你在时装界工作,Impossible! You're in the fashion world.,
我们冷酷、人工化和缺乏感情,"We're cold, artificial and without sentiment.",
你怎能谈恋爱 我是害群之马,- How can you possibly be in love? - I'm a black sheep.,
我的系列又怎样？,What about my collection?,
没有她不行的,Without her I cannot show it.,
长裙都是她的尺码 我完蛋了,- The gowns were sewn on her! - I'm facing ruin!,
她会来的，她为人正直,"Don't worry, she'll show up. The girl has integrity.",
她充满德性，却不花在我们身上,She's filled with virtues. Only she's not wasting them on us.,
我去过咖啡室，她不在,"I went to the cafe, but she isn't there.",
那么她去了哪里？,So where is she?,
她在酒店，但不肯接听口信,"She's at her hotel, but she won't take messages.",
我贿赂接待员让我抄下她的口信,So I bribed the desk clerk into letting me copy her phone messages.,
10点15分，颜迪克来电,"""At 10:15, Dick Avery called.""",
11点30分，颜迪克来电,"""At 11:30, Dick Avery called.""",
12点16分，霍教授来电,"""At 12:16, Professor Flostre called.""",
混帐，无耻之徒,"Lousy, rotten good-for-nothing!",
今晚我家会举行国际哲学、诗词 歌曲和冥想聚会,"""Having an evening of international philosophy, poetry, song and meditation tonight at my salon.""",
诚意邀请你参加，霍奕谋,"""Would be delighted if you would join us. Emile Flostre.""",
她今晚会在那里,"Obviously, that's where she'll be tonight.",
不演出我的系列，我完蛋了,Not showing my collection. I'm ruined.,
我今晚去霍家带她回来,I'll go to Flostre's tonight and bring her back.,
带个情绪不太激动的人去，像我,And take someone who isn't emotionally involved. Like me.,
你们不能进去的,You'll never get in.,
共鸣学者对敌意感应反应很强烈,Empathicalists have a very firm way of dealing with what they call hostile vibrations.,
我们假扮成一对友善的人,Let's turn into a couple of friendly vibrations.,
不能力敌，只好智取,"Until we get in. As they say, if you can't lick 'em, join 'em.",
我够颓废吗？,- Do I look grubby enough? - Yeah.,
胡子怎样？,How's the beard?,
很有气派 来吧,- Full of pizzazz. - Come on.,
那个,La. Ah!,
来自佛罗里达的白加先生太太,Monsieur et Madame Barker de Florida. - Florida.,
佛罗里达 对，塔拉哈西市,- That's us. De Tallahassee.,
甜心，来吧 好，亲爱的,"- Come on, sugar. - Alright, darlin'.",
我不知道，我问问罢了,I don't know. I just asked.,
什么事？,- What's the matter?,
那首歌很好笑,- The song's a bundle of laughs.,
她刺死了爱人因为她憎恨他,She stabbed her lover because she hated him.,
那个可怜鬼死了... 他死了，她爱他,"Now that the poor thing is dead... ♫ Tout d'un coup, je savais bien Que je l'ai aimé",
这个孩子有点困惑,This kid's a little confused.,
现在她要扯平,Now she's gonna get even.,
她要自杀,- She's gonna kill herself.,
真悲惨 你可以再说一遍,- C'est tragique! - You can say that again.,
你！,Hey!,
看楼上,Look up the airstay.,
我们上错楼层了,"We're on the wrong floor. Un moment, s'il vous plaît.",
真正的白氏夫妇,"Oh-oh, the real Barkers.",
这是什么一回事？,Now what's this all about?,
不是从塔市来的 不是迈亚密,- They are not from Tallahassee! - They ain't even from Miami.,
我在塔市从没见过他们 我去过塔市每一个角落,"I've never seen these people in Tallahassee, and I have been in every corner of Tallahassee.",
开玩笑吗？,- Is this some sort of a gag?,
我知道他是谁,- I know who he is!,
她是时装编辑，赶他们出去,She's a fashion editor. Get 'em out!,
快点，否则霍先生会听到的,"At once, or Mr Flostre will hear about this.",
我们是巡回演出的心灵歌手...,"Now, wait, we're spiritual singers on a tour and...",
现在敌意感应消失了,Now the hostile vibrations have gone...,
听着！,Attendez!,
我们准备看你们的表演,We are ready for your show.,
要求演出 我们来吧,"- Command performance! - Come on, Mama. We're on.",
让他们看看气派,Let's give 'em the old pizzazz.,
塔拉哈西先生，怎么样？,"Well, Mr Tallahassee, how we doin'?",
我们是你们看过的最友善的感应,"Why, we's the two most friendly vibrations you ever seen.",
快摇动，看准猫儿,"♫ Hey, diddle diddle, the cat and the fiddle.",
碟子跟汤匙跑掉了,♫ The dish ran away with the spoon.,
可知道为何小鸡要过马路？,Do you know why a chicken crosses the road?,
不知道，为什么？,"No, why does a chicken cross the road?",
上二楼 你是个天才,"- Why, to get to the second floor! - You is a genius!",
玫瑰艳红，紫罗兰碧蓝...,"♫ Roses are red, the violets are blue,",
要展出那些裙子，我们去表演吧,♫ the dresses is gotta be showed. Let's get this show on the road!,
知识的满足是不存在的,Intellectual gratification is imperatively nonexistent.,
只有你才能达致潜质 够了,- Only you can fulfill that potential.,
你在这里 教授，我们需要你,"- Flostre, there you are. - Professor, we need you!",
你们来干什么？,What are you doing here?,
你们看来很滑稽,You look ridiculous!,
我们来见霍教授，我们需要指导,"We've come to see Flostre. Professor, Maggie and I need guidance.",
我们发觉我们过著庸碌的生活,We realize what futile aimless lives we lead.,
你们何时发觉的？,- When did you realize this? - Today.,
今天两点,At about two o'clock.,
在午餐后 教授，别相信他们,"- Just after lunch. - Professor, don't believe them!",
我们想坐在你脚下学习,We want to sit at your feet and learn.,
这样虽然无知，但我们愿意,"We sit at your feet, humble and ignorant, but so willing.",
你们别理会他的脚,You two just leave his feet alone.,
教授，他们想令你尴尬,"Professor, they want to make a fool of you.",
你是否想令他尴尬？,"- Are you trying to make a fool out of Flostre? - Who, me?",
我？,You're making things difficult.,
你弄巧反拙，你不拥有共鸣论,You don't own empathicalism.,
它是属于大众的,"It's in the public domain, isn't it?",
为何你相信他们 我熟悉他们,- Why don't you trust these people? - Because I know them well.,
我知道他们来此并非寻求指导,I know what they're here for and it is not guidance.,
别听她的，她是个小孩,"Don't listen to her, master. She is but a child.",
他们来找我，不是找你,"They came to see me, not you.",
