cantonese,english,greedy,beam
我哋一粒飯都冇落過肚，一路做咗幾個鐘頭。,We kept on working for hours without eating anything.,"I had a meal that I'd missed, and I was doing several bells and whistles all the way.","I've had a meal to eat all over my stomach, all the way to a few bells and whistles."
我哋打啤牌消磨時間。,We killed time by playing cards.,I'm gonna hit beer plate to fix the time.,I've been playing beer cards for a long time.
我哋傾咗嗰個問題。,We discussed the problem.,I have a problem.,I have a problem with myself.
我哋嘅結論就係，個傳言係真嘅。,We've come to the conclusion that this is a true story.,"I'm not sure if I can tell you what I mean, but I think that the truth is the same.",My conclusion is that the individual prophecies are true.
我哋買咗一磅茶。,We bought a pound of tea.,I'll buy a pound of tea.,I'll buy a pound of tea.
我哋啲會好少準時開始。,Our meeting rarely starts on time.,I'll start at a little bit later.,I'm going to start a little later.
我哋已經準備好應付千年蟲。,We're thoroughly prepared for the millennium bug.,I'm ready to deal with millennia of insects.,I'm ready for the millennium bug.
我哋組輸咗第一回合。,Our team lost the first game.,The first time I've ever played in a game.,I've been in the first round since I left.
佢攰得濟，又唔夠瞓，卒之咪搞到病咗囉。,"What with fatigue and lack of sleep, he has fallen ill at last.","I'm not sure if I have a problem, but I think I can get a cure.","I've had a lot of trouble, and I haven't been able to do anything, so my mother got sick."
你執好晒啲嘢未呀？,Have you finished packing yet?,"You're a good sunbather, aren't you?","You're so hot, aren't you?"
我打爛咗你個花樽，真係好對唔住呀。,I must apologize to you for breaking the vase.,"I'll take your bottle of wine, I will stay here.","I'll take your bottle of wine, and it's good to stay here."
個花樽裏面啲花係玫瑰嚟嘅。,The flowers in the vase are roses.,The flowers are arranged in a single flower barrel behind the roses.,The flowers of the roses on the back of each flower barrel.
我幫啲花淋水淋嚟都無謂，因為我一淋完就開始落雨喇。,"I needn't have watered the flowers. Just after I finished, it started raining.","I'm not going to let the flowers go to the water, because I start to rain when I finish to get water.","I'm not going to be able to get all the flowers watered, because I start to rain when I finish the watering."
你星期二得唔得閒呀？,Are you free on Tuesday?,You're having a good time on Tuesday?,How are you doing on Tuesday?
千祈唔好唔記得熄火。,Never forget to put out the fire.,I remember the fire burning.,I think I remembered the fire burning.
佢起唔到火，唯有生勾勾噉食咗條魚。,"As he had no way of making fire, he ate the fish raw.",He was only able to eat fish and fish.,It's the only place where I can eat fish.
你鍾唔鍾意唱歌？,Do you like singing?,You're going to sing?,You think you're going to sing?
我可唔可以同屋企人一齊嚟㗎？,May I bring my family along?,I can't be with the other people in the house together?,I can't be together with the people of the house for a while?
如果唔係為咗養家，我會辭咗份工。,"If it were not for my family, I would give up this job.","If I'm a parent, I will leave my job.","If I'm going to make a family, I will quit my job."
我揸車送你返屋企啦。,I'll drive you home.,I'm gonna drive you back to the house.,I'm gonna drive you back to the house.
啲屋一間一間噉著咗火。,The houses caught fire one after another.,The house is one of the fires.,It's one of our houses that burns.
我返到屋企嗰陣好鬼肚餓。,"When I got home, I was very hungry.",I returned to the restaurant and was very hungry.,I came back to the restaurant and was very hungry.
我返緊屋企嗰陣撞到佢。,"On my way home, I met him.",I'm back in my room and I am hitting him.,I went back to my house and tried to hit it.
我一返到屋企就開始落雨喇。,"As soon as I got home, it began to rain.",I returned to the house and started to fall down the rain.,"When I returned to the house, I started to drop the rain."
我漏咗張卡喺屋企。,I left my card at home.,I'm not going to be able to get a job.,I'm going to get a ticket to my company.
吽喺屋企一啲都唔好玩。,Staying home isn't fun.,I think it's a lot of fun to be in the house.,I think it's a lot of fun.
你唔覺得間屋喺度震緊咩？,Don't you feel the house shaking?,You think the room is shaking?,You think the house is shaking?
我放完暑假即刻就要考試喇。,I'll have exams right after the summer holidays.,I'll be examing right away for the summer vacation.,I'm going to take my exams right away for the summer vacation.
唔知過咗咁多年佢仲認唔認得我呢？,I wonder if she will recognize me after all those years.,"I know I've been friends for years, so I can't believe you're me?","Well, I know that I've been friends for many years, so why don't you agree with me?"
你幾點返屋企呀？,When will you come home?,How far can you go back to your home?,Where are you going back home?
你知唔知間舖頭幾點閂門呀？,Do you know what time the shop is closed?,You know and know the gates of the main store.,You know how many doors there are at the main entrance?
你幾時返嚟呀？,When will you be back?,When did you come back?,When did you come back?
你點解咁諗嘅？,Why do you think so?,You're telling me something?,What do you mean by that?
你做咩無嚟到嘅？,Why didn't you come?,You're not doing anything?,What are you doing?
你買咗啲乜嘢呀？,What did you buy?,You bought this thing?,What did you buy?
買咗啲咩呀你？,What did you buy?,"I'm sorry, you?",What do you buy?
你maj咩㗎？,What's your major?,You're not?,What are you doing?
加油！,Come on!,"""""""Come on, come on!","Come on, let's go!"
你喺度諗緊啲咩呀？,What are you thinking about?,You're in a coma?,What are you doing?
內容重要過表達方法。,What to say is more important than how to say it.,The content is important to the expression method.,The content is important to the expression method.
你想飲啲咩呀？,What will you have to drink?,"""You want to drink?",Do you want to drink?
飲乜嘢呀？,What would you like to drink?,"""I'm drinking?",I'm drinking?
我諗我搞得掂㗎喇。,I think I can handle it.,I'm not sure I can do it.,I can't believe I'm doing this.
點解係我?,Why me?,I'll take it?,I can't help it?
我想飲啲凍嘢。,I want something cold to drink.,I want to drink some frozen.,I want to drink some frozen.
我想食啲嘢。,I want something to eat.,I want to eat my food.,I want to eat something.
可唔可以俾啲嘢我食呀？我餓到暈咁濟喇。,Please give me something to eat. I am so hungry.,But I can't eat from the moon? I'm starving to the starvation.,But I can't eat it? I'm starving to starve.
我可唔可以講兩句呀？,May I say something?,"I can say two words, I suppose?",I think I can say two words.
搞咩呀？,What's going on?,What are you doing?,What are you doing?
如果佢哋知道會發生埋啲噉嘅事，實會改用第二啲計劃啦。,"Had they known what was about to happen, they would have changed their plans.","If you know something is going to happen, you will actually re-use the second plan.","If you know that something's going to happen, you'll actually switch to the second plan."
你有冇養寵物㗎？,Do you have any pets?,You have a pet?,Do you have a pet?
如果我好夜都未返，你就自己瞓先啦，唔使等我。,"If I should be late getting home, please don't wait up for me.","If I have not returned all night, you will be your own first, and wait for me.","If I don't return all night long, you'll be alone, waiting for me."
唔該你較細聲啲吖。,"Turn down the volume, please.",I'm not sure you're a good voice.,I think you're too small for that.
你鍾意聽音樂多啲吖，定係唱歌多啲呀？,Do you like listening to music or singing songs?,"You are very good at listening to music, singing songs, and sing songs?",You love listening to music and singing songs?
唔好嘈呀，會嚇走啲雀仔㗎。,Don't make any noise or you'll scare the birds away.,I'm afraid I can't get a good one.,I'm afraid I can't find a place to hide the bird.
我喊咗成晚。,I cried all night long.,I'm gonna be late tonight.,I'm going to be late tonight.
我唔係同你講嘢，我係同隻馬騮講嘢。,I'm not talking to you; I'm talking to the monkey.,"I'm talking to you, I talk to the horse.","I'm talking to you, I talk to the horse."
你同我講緊嘢呀？,Are you talking to me?,You and I are in love?,Are you talking to me?
你唔好⋯⋯唔好噉同我講嘢。,You don't... you don't talk to me like that.,You are very good ... ... well ... you are good with me and I am good.,You'll be very happy to be with me.
坐飛機去沖繩要坐幾多個鐘㗎？,How many hours does it take to go to Okinawa by plane?,How many bells do you want to sit on the plane to Okinawa?,How many bells do you want to sit on a plane to Okinawa?
個騎士發誓向國王忠誠。,The knight swore an oath of allegiance to the king.,The king of the kingdom is a loyal knight.,The king's knights vowed loyalty to the king.
橫濱係日本第二大嘅城市。,Yokohama is the second largest city in Japan.,Yokohama is Japan's second largest city.,Yokohama is Japan's second largest city.
隻手污糟嗰陣千祈唔好捽眼。,Never rub the eyes when the hands are dirty.,Their eyes are very poor and they are poor.,"Their hands are dirty, and they have a thousand eyes to see."
你可以拎呢本書走，但係唔好整污糟佢喎。,You may take this book as long as you keep it clean.,"You can carry this book with you, but I'm not good at all.","You can carry this book with you, but I'm not good at all."
你有冇鉛筆呀？,Have you got a pencil?,You have a pencil?,You have a pencil?
舊石遠睇好似人樣。,"Seen from distance, the rock looked like a human face.",The old stone is similar to the old one.,The old stone is similar to that of a human.
我想問吓火車站點行呀？,Could you please tell me how to get to the station?,"""I'd like to ask you to stop at the train station.","""I'd like to ask you to stop at the train station."
車站就喺呢度附近。,The station is nearby.,The station is located near the station.,The station is located in the vicinity.
佢係英國人，所以對英式用法同美式用法之間嘅分別特別敏感。,"As an Englishman, he is particularly sensitive to the differences between English and American usage.","As English people, we are particularly sensitive to the difference between English and American usages.","As a British, I am particularly sensitive to the differences between English and American usages."
英國好少地震。,They have few earthquakes in England.,The British have had a few earthquakes.,Great Britain has a small earthquake.
你識唔識講英文㗎？,Can you speak English?,You know nothing about English.,You know nothing about English?
英文好難講得好。,To speak English well is difficult.,I can speak English well and speak well.,The English language is good and easy to learn.
你啲英文學成點呀？,How are you getting along with your English study?,Your English major?,What's your major in English?
我會永遠同你喺埋一齊。,I'll be with you forever.,I will always be with you and I'll be buried together.,I will always be with you and I'll be buried together.
套戲好唔好睇呀？,Was the movie good?,I'm not sure I have a good film?,"I'd like to see you in a movie, huh?"
套戲好唔好睇呀？,Did you enjoy the film?,I'm not sure I have a good film?,"I'd like to see you in a movie, huh?"
啲電影全部都好悶。,All the films are boring.,All the films were all in a state of panic.,All of the films were in a state of panic.
個司機問我應該行邊邊。,The driver asked me which way to go.,The driver asked me to go to the side.,The driver asked me if I should go side by side.
佢啲駕駛技術好差，但係都勉強通過咗個駕駛考試。,He managed to pass his driving test even though he was a poor driver.,"The driver's skill is poor, but all of us study through the individual driving exam.","The driver's skill is poor, but we all study through the individual driving exam."
好似就落雨囉噃。我哋閂埋啲窗啦。,It looks like rain. We had better shut the windows.,It is like raining on the earth. I have buried the window.,It's like it rains. I've buried the window.
如果唔落雨嘅話，你可以去踩單車。,You may go cycling if it doesn't rain.,"If you are in a rainy season, you can go on a bike ride.","If it rains, you can walk on a bicycle."
報紙有冇話會落雨呀？,Did the newspaper say it was going to rain?,It's rainy in the paper.,"It's raining in the papers, is it?"
雨由琴晚開始一直落到而家。,It's been raining since last night.,The rain from the beginning of the evening of a song has always fallen to the house.,The rain from the beginning of the evening begins to fall to the house.
我哋最好喺個天開始落雨之前出發。,We had better start before it begins to rain.,I'd better start the day before rain starts to fall.,It's best to start the day before the rain starts.
我諗就快落雨喇。,I think it's going to rain.,I'm going to get wet right now.,I'm going to drop the rain soon.
我唔鍾意落雨嗰陣出街。,I don't like to go outside when it's raining.,I'm going to drop the rain and walk out of the street.,I think it's going to rain on the street.
佢驚會落雨，所以就閂埋咗個窗。,He closed the window for fear of rain.,"It was a big rain, so I built a window.","I was surprised by the rainfall, so I buried a window."
宇宙裏面係無空氣嘅。,There is no air in space.,The Earth's surface is airless.,There is no air on the surface of the universe.
我舉唔起隻右手。,I can't lift my right arm.,I lifted my right hand.,I lifted my right hand.
我隻右眼咩都睇唔到。,I can't see anything with my right eye.,My right eye is all I have.,My right eyes are all over me.
唔好喺背後講人壞話。,Don't speak ill of others behind their back.,I'm a good guy who's got a bad story behind him.,I'll tell you a good story behind the scenes.
你唔應該喺背後講人壞話。,You shouldn't talk about people behind their backs.,You should be a good storyteller behind the scenes.,You're supposed to tell a bad story behind the scenes.
我對佢一見鐘情。,She attracted me at first sight.,I'm looking at him and I feel like a bell.,I'm looking forward to it.
你係做錯咗，但係都唔可以怪你嘅。,"On the one hand, you are wrong, but on the other hand, I can't blame you for that.","You're wrong, but I can't blame you.","You're wrong, but I can't blame you."
不如唞吓先啦？,What do you say to taking a rest?,I'm not afraid of it.,I shouldn't have scared him.
有啲大學教授好鍾意遲嚟早走。,Some college teachers come to class late and leave early.,A university professor is a good friend of the university and he is late to go early.,There is a university professor who likes to stay late and walk early.
我為咗搭頭班火車，晨咁早就起咗身。,I got up early in order to catch the first train.,"I was on the first train, and I woke up early in the morning.","I'm going to take the first train, I wake up early in the morning."
我永遠都係睇咗體育版先。,I always read the sports page first.,I always wanted to be a sports fan.,I've always been a fan of sports versions.
最近嘅銀行喺邊呀？,Where is the nearest bank?,I'm in the bank recently.,I've been in the bank recently.
成晚又落吓雨，又停吓雨。,It was raining on and off all night long.,"The rains were still in the morning, and the rain was still.","The rains of the night, and the rain of night."
我請你飲嘢吖。,I'll buy you a drink.,I'll give you a drink.,I want you to drink it.
用一年半載就精通到英文係冇可能嘅事。,It is impossible to master English in a year or so.,The English language is used for a year and a half to learn English.,A year-and-a-half of the school year is devoted to learning English as a possible subject.
我記得我有一次喺街度見過佢。,I remember seeing her once on the street.,I remember I was walking around the street once and I saw it.,I remembered I was walking around the street once.
我諗極都諗唔起佢叫咩名。,"I'm trying hard, but can't think of her name.",I've been in the world all the time and I have been called by that name.,I've been all over the world since I got my name.
一個人幫唔到一班人，但係一班人幫到一個人。,"One can't help many, but many can help one.","One man helped one group, but one man made one.","One person helped one group, but the other group helped another one."
不如一齊去睇戲吖。,Would you like to go see a movie with me?,I'm not going to go to the theater.,I'm not going to be able to do that.
你一個禮拜沖幾多次涼㗎？,How often a week do you take a bath?,How many times a week do you have to cool down?,How much rain do you get in a week?
我等咗一個鐘，但係佢冇出現。,"I waited for an hour, but he didn't appear.","I'm waiting for a bell, but I am not here.","I waited for a bell, but I did not appear."
我已經等咗你成個幾鐘喇。,I've been waiting for you for over an hour.,I have been waiting for you for several hours.,I've been waiting for you for several hours.
我前日喺火車度撞到佢。,I met her by chance on the train the day before yesterday.,I was hit by a train the other day.,I was hit by a train the other day.
第一眼望落去，嗰條題目好似好易噉。,"At first sight, the question seemed easy.","The first-sighted view is to fall, and the title of each article looks like it is easy.","At first glance, I'm looking down, and the title of the article looks like it's easy."
唔該唱首歌啦。,Please sing a song.,I'm not singing a song.,It's a singing song.
第一，我冇錢，第二，我冇空閒時間。,"For one thing, I've no money, and for another, I've no leisure.","I have a lot of money, and I'm busy.","First, I have money, second, my leisure time."
個醫生雖然已經盡晒力，但係個病人都係冇幾耐就死咗。,All the doctor's efforts were in vain and the man soon died.,"The doctors had exhausted their powers, but each patient was dying of illness.","Even though the doctors had exhausted their powers, each patient was still dying."
你最好聽個醫生講。,You had better do as the doctor advised you.,You'd better listen to a doctor.,You'd better listen to a doctor.
你去睇咗醫生未呀？,Did you go to the doctor?,You went to see the doctor?,You went to see the doctor?
個分別係佢做嘢做得勤力過你。,The difference is this: he works harder than you.,I have been very hard on you.,I'll do my best to help you.
我去過北海道。,I've been to Hokkaido before.,I went to Hokkaido.,I went to Hokkaido.
個天開始黑囉喎。唔該幫我開咗盞燈佢吖。,It's getting dark. Please turn the light on for me.,I started to be a black man. I was the one who started the light.,Every day starts darkness. We should help me to open the light.
天都開始黑喇。返屋企囉！,It is getting dark. Let's go home.,The whole world began to blacken. Come back!,Every day starts to blacken. Come back!
個天黑咗之後就唔好俾佢出街喇。,Don't let her go out after dark.,"After the day is dark, I want to go out of town.","After the day is dark, I want to go out to the street."
個天好黑，但係我哋都搵到路返屋企。,"Dark as it was, we managed to find our way home.","It was a very dark day, but I was all on the way back to the house.","It's very dark, but I'm going to go back to my house."
有機菜咁多人鍾意係因為佢哋又安全又好食。,Organic vegetables are popular because they're safe and tasty.,Organic foods are popular among many people because they are safe and good food.,Organic foods have attracted many people because they are safe and good food.
有機菜安全好食，所以咁多人食。,Organic vegetables are popular because they're safe and tasty.,"Organic food is safe and good food, so many people eat.","Organic food is safe and good food, so many people eat."
最後一個關於握手嘅小貼士：記住笑。,I have one final piece of advice related to handshakes: Remember to smile.,Last one about the hand-hake is a small poster: Remember laugh.,The last one about the handhake is a small poster: Write smile.
日頭唔好講人。,Speak of the devil and he is sure to appear.,I'm a good man.,I'm a good speaker.
壞習慣唔係咁易戒㗎。,It is not easy to get rid of bad habits.,The bad habits are easy to overcome.,Bad habits can be easily overcome.
壞習慣好難戒。,It is not easy to get rid of bad habits.,Good habits are good for the poor.,Good habits are good for the poor.
壞習慣好難改。,It is not easy to get rid of a bad habit.,Good habits are good for bad.,The bad habits are good and bad things are bad.
一養成咗壞習慣，就好難改返正㗎喇。,"A bad habit, once formed, is difficult to get rid of.","One of the most important things is that we must not be afraid of our bad habits, and we should not change our ways of doing things.","If you have a bad habit, you can't change it to a good one."
我哋生活喺文明社會。,We live in a civilized society.,I live in a civil society.,I live in a civilized society.
我哋逼咗入間細房度。,We were crowded into the small room.,I'm going to be in the room in a tight room.,I was forced to enter the room in a small room.
我哋有某啲地方同佢哋唔同。,We differ from them in some respects.,I have a place I'm in and I am in.,I've got some place to go with you and we're all in it.
我鍾意坐火車多過搭飛機。,I prefer traveling by train to flying.,I'll take the train and fly to the plane.,I want to get on a train rather than a plane.
我講極佢都唔信佢做錯咗。,I could not convince him of his mistake.,I'm not sure I was wrong.,I've always believed that I was wrong.
我有好多嘢要做。,I have a lot of work to do.,I have a lot of things to do.,I have a lot of things to do.
美國嘅首都係華盛頓定係紐約呀？,"Which is the capital of the United States, Washington or New York?","The capital of the United States is Washington, D.C., and New York is New Jersey.",The capital of the United States is Washington in New York City?
唔該俾杯酒我吖。,I'd like to have a glass of wine.,I'll have a drink of my wine.,I'd like to drink a glass of wine.
洛杉磯係我想去嘅其中一個地方。,Los Angeles is one of the places that I'd like to visit.,I'm in Los Angeles I want to go to one of the places.,Los Angeles I want to go to one of the places.
支火箭而家應該已經到咗月球喇。,The rocket ought to have reached the moon by now.,The rocket was launched on the Moon and the planet was then sent to Earth.,The rocket should have been sent to the Moon.
而家嘅貸款利率好高。,Interest on loans is high at present.,The loan rate is high for the home.,And home loan interest rates are high.
我喺度搵緊啲講古羅馬歷史嘅書。,I'm looking for books on Roman history.,I'm reading a book on the history of ancient Rome.,I'm reading a book on the history of ancient Rome.
羅馬有好多古建築。,Rome has a lot of ancient buildings.,Rome has many old buildings.,There are many old buildings in Rome.
阿 Lucy 實會嚟嘅。,Lucy is certain to come.,Lucy is really sorry.,"I'm sorry, Lucy."
琳達伸咗條脷出嚟。,Linda stuck her tongue out.,Their tail is covered with a flower.,It is said to have been created by the emperor.
Linda好鍾意朱古力。,Linda loves chocolate.,Linda is very fond of Chu Chu Li Li.,Linda's a good friend.
有啲蘋果喺棵樹度跌咗落嚟。,Some apples fell down from the tree.,The tree is a tree with a few apples and trees falling and fall.,There are many apples and trees that fall and fall from the tree.
可唔可以借你部收音機俾我呀？,Can I borrow your radio?,"I'll borrow your radio, I suppose?","Well, can I borrow your radio, please?"
聽聽吓收音機，我瞓著咗。,I fell asleep while listening to the radio.,"I'm listening to the radio, I was going to be here.","I've been listening to the radio, I have been walking."
可唔可以將部收音機較細聲少少呀？,Could you turn down the radio?,"Well, you can make the radios sound a little louder and a bit louter?","Well, you can make the microphones louder and quieter?"
你有冇打火機呀？,Have you got a lighter?,You have a fire engine?,You have a fire engine?
你有冇打火機呀？,Do you have a lighter?,You have a fire engine?,You have a fire engine?
你冇嘢吖嘛？,You all right?,What do you mean?,What do you mean?
我成日都醒唔起佢個名。,Her name often escapes me.,I'll wake up and have a name.,I wake up every day and I have a name.
你日日都係做埋啲一模一樣嘅嘢，乜唔會覺得悶嘅咩？,I wonder if you don't get tired of doing the same thing every day.,"You're a full-time writer, and you'll be in a rut, I'm gonna be drowsy, huh?","You've been doing the same thing all over the world, and you're going to be bawling, right?"
揸慢啲。,Drive slowly.,I'm so happy.,I'm sorry I missed you.
尋晚行雷閃電。,There was thunder and lightning last night.,The lightning flashes.,The lightning flashed late in the night.
我有好多嘢想做，但係就係無時間做。,I simply haven't the time to do everything I want to do.,"I have many things to do, but the department has no time to make.","I have a lot of things to do, but I don't have time for them."
我哋卒之都見面喇！呢一刻等到我頸都長喇。,"So, we finally meet! I've waited so long for this moment.","I'm going to be in the middle of my life, and I will be there for a moment until my neck is long.","I'm not going to be able to do that, I have to wait for a moment until my neck is long."
你應該食多啲菜。,You should eat more vegetables.,You should eat more food.,You should eat a lot of food.
小心啲揸車呀，如果唔係就會出事㗎喇。,"Drive more carefully, or you will have an accident.","I'm not sure if I can get to the car, but I think I will be able to get there.","Be careful with your car, if you are going to be out of the car."
如果我哋有多啲時間咪好囉。,I wish we had more time.,"If I had to be there for a long time, I'd be okay.","If I'm not sure how much time I have, it's okay."
你可唔可以揸慢少少呀？,Could you drive more slowly?,"You can slow down a little, can you?",Can you slow down a little?
有冇人仲想食批呀？,Does anyone want some more pie?,"""I've got a friend who wants to eat a batch?","""Are there any people who want to eat?"
你應該食多啲生果。,You should eat more fruit.,You should eat more fruit and vegetables.,You should eat more fruit and vegetables.
我一定會去探佢嘅。,I'll certainly go and see him.,I'm going to go and look for him.,I'm going to go look for him.
梗係啦。,"Yes, of course.",I'm a hawk.,It's a good one.
佢哋當然有啲共通點。,Of course they resemble each other in some ways.,I have a common point.,I have something in common.
萬一佢遲到噉點算呀？,What if he should happen to be late?,I'm not sure I can do it.,"It's too late to calculate, is it?"
俾着我就唔濟喇。,"If I were you, I wouldn't do it.",I'm going to be very busy.,I think I'll be fine.
如果天氣好嘅話，我諗住聽日出發。,I mean to go tomorrow if the weather is fine.,"If the weather is good, I will stay and go to the Sunset.","If the weather is good, I'm going to stay and go to the sunset."
如果有人嚟搵我，就同佢講話我出咗去。,"If anybody comes, tell him that I am out.","If someone asks me to speak, I'll tell them to go and talk to me.","If someone asks me to speak to me, I'll talk to them and leave."
如果可以投胎嘅話，我想喺個有錢家庭度出世，咁就成世唔使憂喇。,"If I could be reborn, I would want to be the child of a rich family, then I'd be set for life.","If I can give birth to a baby, I think that I will be a rich family when I come out of the world, and I'll be happy when we get to the age of my mother.","If I can give birth to a baby, I think that if I have a wealthy family and I come out of the world, then I'll be happy to be born."
我哋噉對佢，好似唔係幾好。,It would be unfair if we treated him so badly.,I'm going to be like you're good.,"I think I'm going to have a good time, I guess I will be fine."
假設 A 同 B 之間有座好高嘅山，噉就要諗吓，條路應該跨過座山吖，穿過座山吖，定係直接兜過座山呢？,"If a high hill stood between A and B, it was important to decide whether the line should climb over it, pierce it with a tunnel, or make a detour to avoid it.","If A and B are in a good height, then the path should cross the mountain, pass the Mountain, and the appointed officer should pass directly through the Mount.","If A and B are on a high mountain, then the path should cross the mountain above, pass through it, and the appointed officer should go directly to pass over it."
如果我唔喺限期之前搞掂，我就大檸樂喇。,There will be hell to pay if I don't make this deadline.,"If I'm not sure I can get through the deadline, I will be very busy.","If I have to wait until the deadline, I'll take a big lelap."
如果出咗咩事，即刻打電話俾我。,"In case anything happens, call me immediately.","If you're in trouble, call me right away.","If you're in trouble, call me right away."
如果你得閒嘅話不如一齊食飯吖？,"I'd like to invite you to lunch, if you're not busy.","If you're busy talking, why not eat together?","If you're busy talking, why don't you eat together?"
佢聽到呢個消息，實會開心到彈起。,He would be very glad to hear the news.,"I heard a news story, and I really enjoyed playing it.","I heard a news story, and I'm really happy to be playing it."
如果你聽日唔去釣魚，我都唔去喇。,"If you do not go fishing tomorrow, I will not either.","If you hear that you're going fishing, I'll go fish.","If you don't want to go fishing, I'll go."
你就算真係知道個真相，而家都係扮唔知好啲。,"Even if you know the truth, you had better pretend otherwise at present.","You're supposed to know the truth, and the whole family pretends to be ignorant.","You're supposed to know the truth, but the whole family pretends they don't know."
你打咗電話俾佢未呀？,Have you called her yet?,You're calling me?,Did you make a phone call?
你寫好晒啲賀年咭未呀？,Have you written all the New Year's cards already?,"You write your card well, don't you?",Did you write your annual card well?
你而家係大學生喇，應該努力啲讀書。,"Now that you're a college student, you should study harder.","You are a big student in your family, you should work hard to study.",Your family is a big student and you should work hard to study.
夠鐘上床瞓覺喇。,It's time to go to bed.,It is a good time to get up to bed.,It's enough to wake up on the floor.
我想瞓多陣。,I want to sleep a little more.,I think I'm going to be a lot of.,I think I'm going to do a lot.
你可唔可以講慢少少呀？,"Would you speak more slowly, please?","You can say little by little, can you?",You'll be able to slow down a little?
我爭啲唔記得咗。,I almost forgot it.,I remembered it when I was in the middle of it.,I don't remember what I was talking about.
如果我哋再多少少錢，就買到嗰架車㗎喇。,We could have bought the car with a little more money.,"If I have a little more money, I'll buy a car seat.","If I have a little more money, I'll buy a car seat."
夠鐘喇。,Time is up.,It's a very good time.,It's pretty good.
唔使喇，唔該。,"No, thank you.","I'm sorry, I don't know.","I don't know, I'm sorry."
你決定好未呀？,Have you arrived at a decision yet?,You're not going to decide?,Are you going to decide?
你可唔可以俾我試多一次呀？,Will you let me try once more?,You can let me try again?,Could you please let me try again?
我可唔可以食多嚿蛋糕呀？,May I have another piece of cake?,I can eat more cakes than I want.,I think I can eat more cakes?
你要唔要多舊蛋糕呀？,Would you like another piece of cake?,You want a lot of old cake?,You want more old cakes?
就快三點喇。,It is almost three.,I'm going to be three.,I'm going to get three points.
佢唔想係噉肥落去，所以咪戒食蛋糕囉。,"She does not eat cake, so as not to put on any more weight.","I'm not gonna get fat, so I can eat cakes and eat my mom's cake.","I wanted to get rid of my weight, so I stopped eating cakes."
我哋都係唔好再見面喇。,It would be better for both of us not to see each other anymore.,I'm hoping to meet again.,I'd like to see you again.
食咗晏未呀？,Have you finished eating your lunch?,"""I'm eating, aren't I?",Did you eat it?
而家已經十一點喇。我一定要走喇。,It's already eleven o'clock. I must be leaving now.,I have ten points to go to the house. I must go.,I've got ten points left in my home. I have to go.
過咗差唔多十年，你都仲係同以前一樣咁靚。,"It's been almost ten years, but you're as beautiful as ever.","For a decade, you all have been together as you were before.","For a decade or so, you're all the same as you were before."
瑪莉唔俾佢阿媽知，自己整咗一件蛋糕。,Mary made a cake without her mother's knowledge.,"Mary was a mother-in-law, and she made herself a cake.","Mary was a mother-in-law, and she made herself a cake."
個餐牌有好多唔同種類嘅菜色。,There was a great variety of dishes on the menu.,The restaurant has many different kinds of food and menus.,There are many different kinds of dishes in the restaurant menu.
阿 Mary 唔知同佢講啲咩先好。,Mary is at a loss what to say to him.,I know Mary I'm not sure I can tell you anything.,Oh Mary I know I'm going to have a good time with you.
阿Mary咁硬頸，唔會識道歉架嘞。,Mary is too stubborn to apologize.,"I'm sorry, I can't understand the pain of my neck.","AMary's hard neck, I don't know how to apologize."
阿 Mary 就嚟生日喇，我諗住整件蛋糕俾佢。,I'm going to make a cake for Mary's birthday.,"Mary is my birthday, I have a whole cake to eat.","Mary is my birthday, and I've been eating all the cakes I have."
瑪莉到咗個巴士站嗰陣，架尾班巴士已經走咗喇。,"When Mary reached the bus stop, the last bus had already left.","Mary went to a bus station and arrived, and the bus has been running.","Mary went to a bus station and stayed there, and the bus has been running since then."
我梗係信得過啦。我之前有冇俾過流料你吖？,Of course you can trust me. Have I ever given you a bum steer before?,I've been in the middle of the whole thing. I had to take over the flow before.,I think I've got it right. I used to have an overflow feeder before. Are you?
企喺嗰度嗰個女仔就係 Mary 喇。,The girl standing over there is Mary.,"Mary was a girl, and Mary had a daughter.",I'm going to try to get a girl for Mary La.
喺嗰度游緊水嗰個男仔係邊個嚟㗎？,Who is the boy that is swimming over there?,I'm going to go to a shopping mall and I want to know how each boy is different from each other.,"I'm going to take a walk to see each of my boys, and we'll be having fun together."
賣晒喇！,All sold out!,"""I'm a sunbather!""",I'll sell you a sunbath!
成村人喺度等緊你呀。,Everybody is waiting for you.,The villagers are waiting for you.,The villagers are waiting for you.
大家都想坐喺佢隔籬。,Everybody wants to sit beside her.,Everyone wants to sit down and separate.,Everybody wants to sit on the sidewalk.
你要喺佢哋返嚟之前做好啲功課。,Finish your homework by the time they return.,You have to do everything before you can return to your hometown.,You have to do everything you can before returning home.
個個都好專心噉聽緊。,Everyone was listening very carefully.,All of them are very special and listen carefully.,Every single one of them is focused on listening and listening.
迷你裙已經 out 咗啦。,Miniskirts have gone out of fashion.,The miniskirt has already out of the box.,The miniskirt is already out.
一諗到好快就可以見到佢，我就好激動。,I felt a thrill of joy at the thought of seeing her soon.,"I'm very excited to see you when I get to the top of my mountain, I am very active.","I'll be able to see him very soon when I arrive, and I will be very active."
媽咪呀，你做咩唔叫爹哋自己執返自己間書房嘅？,"Mum, why doesn't Dad clean his own study?","I mean, you're doing what you call yourself to rebuild your own library?","I'm sorry, you're doing what you call your father rebuilding his own library?"
