cantonese,english,greedy,beam
你很能干，却把时间浪费在... 拍摄穿着难看裙子的笨女人身上,I mean a man of your ability wasting his time photographing silly dresses on silly women.,"You're good at it, but you've wasted your time... shooting a woman with a necklace that's hard to see.","You're good at it, but you've wasted your time... filming a dumb woman in a necklace that's hard to see."
人们认为是美女身上美丽的裙子,Most people think they're beautiful dresses on beautiful women.,People think of it as a beautiful necklace for a pretty woman.,People think it's a beautiful necklace for a pretty woman.
顶多是人工化的美,"At most, a synthetic beauty.","And most of all, the beauty of artificial intelligence.","And most of all, it's the beauty of artificial intelligence."
树林才是美丽,Trees are beautiful.,The woods are beautiful.,The woods are beautiful.
为何你不拍摄树林？,Why don't you photograph trees?,Why don't you take a picture of the woods?,Why don't you take pictures of the woods?
我以此维生，这跟供需有关,I do what I do for a living. It has to do with supply and demand.,"I live by it, and it's about supply and demand.","I live by it, and it's about supply and demand."
你会惊讶树木照片的需求很少,You'd be amazed how small the demand is for pictures of trees.,You'd be surprised to see that there's little demand for tree photos.,You'd be surprised that there's very little demand for tree photos.
我的工作舒适，待遇优厚 每年还可到巴黎一次,"My work is very pleasant, the pay is excellent, and I get a trip to Paris every year.","I work comfortably, I get good treatment, and I go to Paris once a year.","I work comfortably, I get good treatment, and I go to Paris once a year."
我很羡慕你,I certainly envy you that.,I envied you.,I envied you.
若我有钱，现在我也身处巴黎了,I'd be in Paris now if I could afford it.,"If I had money, I'd be in Paris now.","If I had money, I'd be in Paris now."
你会出席舞会,You'd have a ball.,You're going to the dance.,You're going to the dance.
每晚参加派对、喝香槟 身处香水中，每小时都有新恋情,"You'd go to a party every night, drink nothing but champagne, swim in perfume, and a new love affair every hour on the hour.","Every night, at parties, with champagne, in the perfume, every hour, a new love.","Every night, at a party, drinking champagne, in the perfume, every hour, there's a new romance."
若我去巴黎就会去霍奕谋的讲座,"If I went to Paris, it would be to go to Emile Flostre's lectures.","If I went to Paris, I would go to a lecture on the Ho Chi Minh conspiracy.","If I went to Paris, I would go to a lecture on the Holocaust."
谁会去巴黎听讲座？,Who goes to Paris for lectures?,Who will go to Paris to hear a lecture?,Who's going to Paris for a lecture?
霍教授是在世的最伟大的哲学家 也是感情移入论之父,"Professor Flostre is the greatest living philosopher, and father of empathicalism.","Professor Ho is the greatest philosopher of all time, and the father of emotional transference.",Professor Ho was one of the greatest philosophers of all time and the father of emotional transference.
什么是感情移入论？,Oh? What's empathicalism?,What is emotional transference?,What is emotional transference?
是达致理解和平静的最佳方法,The most sensible approach to true understanding and peace of mind.,It's the best way to achieve understanding and peace.,It's the best way to achieve understanding and peace.
听来不错，但它是什么？,"Sounds great, but what is it?","Sounds good, but what is it?","Sounds good, but what is it?"
以共鸣为依据,It's based on empathy.,And it's based on the common ground.,It's based on communism.
你明白共鸣的意思吧？,"Do you know what the word ""empathy"" means?","You know what it means to be sympathetic, right?","You know what that means, right?"
不，我要上初学者课程才行了,"No, I'll have to have the beginner's course on that one.","No, I'm going to start a beginner's course.","No, I'm going to do a beginner's course."
共鸣是否与同情相似？,Empathy. Is it something like sympathy?,Is compassion like compassion?,Is sympathy like compassion?
它比同情更深入,"Oh, it goes beyond sympathy.",It's deeper than compassion.,It's deeper than compassion.
同情是了解别人的感受,Sympathy is to understand what someone feels.,Empathy is understanding how others feel.,Compassion is about understanding the feelings of others.
共鸣是突出你的想像力 让你实际感受到别人的感觉,Empathy is to project your imagination so that you actually feel what the other person is feeling.,"Empathy is about showing off your imagination, letting you actually feel what others feel.","Empathy is about showing off your imagination, letting you actually feel what other people feel."
把自己置身于别人的位置,You put yourself in the other person's place.,Put yourself in someone else's shoes.,Put yourself in someone else's shoes.
我说得清楚吗？,Do I make myself clear?,Am I clear?,Am I being clear?
为何你那样做？,- Why did you do that?,Why do you do that?,Why did you do that?
共鸣,- Empathy.,They're all together.,They're together.
我设身处地，感到你想被吻,I put myself in your place and I felt that you wanted to be kissed.,"I'm sitting here, and I feel like you want to be kissed.","I'm standing there, and I feel like you want to be kissed."
你置身于错误的位置了,I'm afraid you put yourself in the wrong place.,You're in the wrong place.,You're in the wrong place.
我没有渴望被你或任何人亲吻,"I have no desire to be kissed by you, or anyone else.",I don't want to be kissed by you or anyone.,I don't want to be kissed by you or anyone.
每人都想被吻，即使是哲学家,"Don't be silly. Everybody wants to be kissed, even philosophers.","Everyone wants to be kissed, even philosophers.","Everyone wants to be kissed, even philosophers."
抱歉，我们没有你找的东西,"I'm sorry, Mr Avery, we don't stock what you're looking for.","Sorry, we don't have what you're looking for.","Sorry, we don't have what you're looking for."
我送你出去,I'll let you out.,I'll send you out.,I'll send you out.
不用了，我自己走吧,Don't bother. I'll throw myself out.,"No, I'm going to go.",No need. I'll go by myself.
再见,Goodbye.,See you around.,See you around.
你认为怎样？,"Well, Dovitch, what do you think?",What do you think?,What do you think?
出色的模特儿，你认为是什么？,They're all good models. What have you got in mind?,What do you think is a great model?,"Great model, what do you think?"
了不起的意念,A fantastic idea.,It's a wonderful idea.,It's an amazing idea.
以前没有人想过真是出奇,It staggers me that nobody's thought of it before.,No one thought it was amazing.,No one had ever thought of it as extraordinary.
我要选一个女孩做优秀女郎,I'm going to select a girl to be the Quality Woman.,I'm going to choose a girl as a good bride.,I'm going to choose a girl to be a good bride.
她会成为杂志的代表,This one girl will represent everything the magazine stands for.,She's going to be a magazine representative.,She will be the magazine's representative.
好噱头，任何模特儿也能胜任,"It's a great gimmick. Well, any of these models would be alright.","It's a good idea, and any model can do it.",It's a good idea. Any model can do it.
她不单要胜任，还要有气派,She's got to be more than alright. She's got to have pizzazz.,"She's not only a winner, she'll be a genius.","She doesn't just want to win, she's got to be generous."
巴黎设计师会为她设计时装,An entire collection is going to be designed for her by the greatest couturier in Paris.,Paris designers would design fashion for her.,Paris designers would design fashion for her.
杜保罗？,- Paul Duval?,DuPaul?,DuPaul?
对，杜保罗,"- Yes, Paul Duval.","Yes, DuPaul, you know.","That's right, DuPaul."
他会在开幕前让我们进行拍摄,And he's going to let us photograph the collection before the opening.,He'll have us shoot before the opening.,He's going to have us shoot before the opening.
我们会压倒所有其他杂志,We'll scoop every other magazine!,We're going to overwhelm all the other magazines.,We're going to overwhelm all the other magazines.
你吃惊吧？,"- Staggers you, doesn't it?","You're surprised, aren't you?","You're surprised, aren't you?"
我难以置信,- I can't believe it.,I couldn't believe it.,I couldn't believe it.
他会被其他时装杂志杯葛的,"Why, he would be barred from Harper's Bazaar and Vogue, and all the other fashion magazines!",He's going to be a big hit with other fashion magazines.,He's going to be picked up by other fashion magazines.
胡说，计划若成功我们便是英雄,"Nonsense. If the project comes off, we'll all be heroes.","If we plan, we're heroes.","They say, if the plan works, we're heroes."
先看看我有什么，是优秀女郎,Wait till you see what I've got. The girl. The Quality Woman.,"Look what I got, a good girl.","Look what I got, a good girl."
玛莲...,"Oh, Marion's...","Mary, you know...",This is Marilyn.
忘记她，这是我提过的那个女孩,Forget about Marion. This is the other girl I'm talking about.,Forget about her. This is the girl I mentioned.,Forget about her. This is the girl I mentioned.
书店那个东西？,That thing from the book shop?,That thing in the bookstore?,That thing in the bookstore?
美琪，她是新人,"Maggie, she's new.",She's new.,She's a newcomer.
有新鲜感,She's fresh.,It's fresh.,It's fresh.
你疯了,You've gone out of your mind.,You are crazy.,You are crazy.
不能否认她很独特，她是谁？,"One can't deny that she is, ehm, unusual. Who is she?","She's unique, who is she?","Can't deny she's unique, who is she?"
别问，想起也会打颤的可怕女孩,"Don't even ask. The thought of her makes me shudder. Dreadful, dreadful girl.","Don't ask, remember the scary girl who would be a bitch.",Don't ask. Think of a scary girl who would play hockey.
若这是个玩笑...,If this is some sort of joke...,If this is a joke...,If this is a joke...
我们替她改头换面，她会很美的,"It's no joke. If we do her over and fix her up, she'd be great for us.","We change her face, and she'll be beautiful.","If we change her face, she'll be beautiful."
她只会折磨我们,She'd devour us all.,She's just going to torture us.,She will only torture us.
别这样 看她,"- Come on, Maggie. - Well, look at her.",Don't look at her like that.,Don't look at her like that.
我觉得她的面孔很滑稽,I think her face is perfectly funny.,I thought her face was funny.,I thought her face was funny.
优秀女郎要大方高贵和有气派,"The Quality Woman must have grace, elegance and pizzazz.",A good bride is a woman of great dignity and grace.,A good bride must be generous and graceful.
我第一次看到你缺乏想像力,This is the first time I've seen you lack imagination.,"For the first time, I saw you lack imagination.","For the first time, I saw that you lacked imagination."
优秀的女孩全都高贵、有气派,"Every girl in Quality has grace, elegance and pizzazz.","All good girls are noble, and they're all good.","All good girls are noble, well-mannered."
找个秀外慧中的女孩又如何？,"What about a girl with character, spirit and intelligence?",How about finding a girl in the show?,How do you find a girl in a show?
那会是时装杂志的创新,That certainly would be novel in a fashion magazine.,That would be a fashion magazine innovation.,It's going to be a fashion magazine innovation.
我会请你喝酒,"Sir, I owe you a drink.",I'll buy you a drink.,I'll buy you a drink.
可否给我放大一点？,Can you make me some black and white enlargements?,Can you give me a little bit more?,Can you give me a little bit more?
好的 用你的黑房吧,- Yes. - Use our darkroom.,"Okay, use your black room.","All right, use your black room."
让我考虑一下 你认真起来了,- Let me study the possibilities. - Now you are talking.,Let me think about it. You're serious.,Let me think about it. You're getting serious.
我没有答应什么 你不用的,- I'm not promising anything. - You don't have to.,I didn't promise you anything.,I didn't promise you anything.
他像老板般指指点点,Runs around here like he owns the magazine!,He points like a boss.,He pointed like a boss.
丽缇，记得书店那个怪物吗？,"Lettie, remember that creature in the book shop?","Li Li, remember that monster in the bookstore?","Lisa, do you remember that bookstore monster?"
叫她来，订购一些书籍,Get her up here. Order some books.,I asked her to come and order some books.,Ask her to come and order some books.
她没法拒绝的大订单 50元？,"- A large order, so she can't refuse. - $50 worth?",She couldn't refuse the big order of 50 bucks?,She couldn't refuse the big order of 50 bucks?
好，就50元吧,"Yes, $50 worth if necessary.","Okay, that's $50.","Okay, that's 50 bucks."
50元叫她来，去巴黎要把她迷倒,$50 to get her up here. We'll have to drug her to get her to Paris.,50 bucks to get her to Paris to lose her.,50 bucks for her to come to Paris and drive her astray.
麻烦找毕小姐,"Er, Miss Prescott, please.",Trouble finding Miss Bee.,Trouble finding Miss Bee.
丽缇出来 我送她订购的书本,"- Lettie, you'd better come out here. - I've got the books she ordered.","And when she came out, I sent her the book she ordered.","She came out, and I sent her the book she ordered."
毕小姐的秘书会接见你,Miss Prescott's secretary will deal with you.,Miss Bee's secretary will see you.,Miss Bee's secretary will see you.
是你，进来吧,"Oh, it's you. Well, come on in.","It's you, come on in.","It's you, come on in."
来吧,Come on.,"Come on, you know.",Come on now.
那些书来了,The books are here.,The books came.,The books came.
进来,Come in.,Come on in.,Come on in.
52.75元，加1.2元车费,"That'll be $52 and 75 cents, and $1.20 for the taxi.","$52.75, plus $1.2 for the car.","$52.75, plus $1.2 for the car."
共53.95元,$53.95.,It was $53.95.,It was $53.95.
把那些书放下,Drop the books.,Put those books down.,Put those books down.
来吧，把它们放下,"Come on, drop the books.","Come on, put them down.","Come on, put them down."
放在地上？,"- On the floor? - Yes, drop them.",Put it on the ground?,Put it on the ground?
立正，肩膊向后,"Straighten up, shoulders back.","Stand up straight, shoulders backwards.","Stand up straight, shoulders backwards."
你们要知道姿势是很重要的,If you girls only knew how important posture is.,You need to know that posture is important.,You need to know that posture is important.
我不是来参加军校的,"Look, I didn't come here to enroll in a military school.",I'm not here for military school.,I'm not here for military school.
我只想要53.95元,All I want is $53.95.,I just wanted $53.95.,I just wanted $53.95.
"那本""莫迪里阿尼""是12.5元 那本""博斯画册""是22.75元","The Modigliani is $12.50, and the Braque and Hieronymus Bosch come to $22.75.",The Modiriani was $12.5 and the Bosso book was $22.75.,The Modiriani was $12.5 and the book was $22.75.
"那本""后印象派主义者""是7元 那两本书要10.5元 总共52.75元加1.2元车费","$7 for the post-impressionists and $10.50 for The Egyptians - Fourth to Seventh Dynasties make it a total of $52.75, and there's $1.20 for the taxi.","The Post-Impressionist book was $7, and the two books were $10.5, which is $52.75 plus $1.2 for the car.","The Post-Impressionist book was $7, and the two books were $10.5, for a total of $52.75 plus $1.2 for the car."
不停嘴的 身型不错,- Talks incessantly. - The body's good.,She's a good person.,"He's a good guy, and he doesn't stop."
经我们改造一下会更好,It'll be better when we get through with it.,We're going to make it better.,It's going to be better if we change it.
改造什么？,- Through with what?,What do you want to change?,Change what?
或许她行的,- She might do.,Maybe she walked.,Maybe she walked.
行什么？,Might do what?,What do you do?,What do you do?
骨格很好,The bones are good.,The bones are fine.,The bones are fine.
别理我的骨格，给我53.95元,Suppose we leave my bones alone and give me my $53.95?,"Don't worry about my bones, give me $53.95.","Don't worry about my bones, give me $53.95."
眉毛提起，扫淡色粉,"The eyebrows up, a light powder.",Raise your eyebrows and wipe the powder.,Raise your eyebrows and wipe off the pale powder.
这里要加点红色，她要一张樱唇,I want a little rouge here. She needs a marvelous mouth.,"If you want to add a little red, she needs a lip.","If you add a little red here, she'll need a lipstick."
发型很差，一定要剪掉,The hair is awful. It must come off.,"She's got bad hair, so I'm going to have to cut her.","It's a bad hairstyle, so I'm going to have to cut it."
可否告诉我这是什么一回事？,Would you mind telling me what all this is about?,Can you tell me what this is?,Can you tell me what this is?
我们工作吧，脱掉那可怕的东西,"We may as well get started. Babs, get that dreadful thing off of her.",Let's work and get rid of that horrible thing.,Let's work and get rid of that horrible thing.
等一会,"Now, wait a minute. Just a minute!",Wait a minute.,Wait a minute.
不要，停手,Don't! Stop!,"No, stop it.","No, stop it."
我最后一次见你们这班疯子,This is my second and last encounter with you lunatics.,This is the last time I've seen you crazy people.,This is the last time I've seen you lunatics.
你们不要碰我,"You just keep your hands off me, all of you.",Don't touch me.,Do not touch me.
我送书来却被粗暴对待,I come here to make a simple delivery and I find myself being pillaged and plundered.,"I sent them to them, and they treated me cruelly.","I sent the book, but it was treated roughly."
我受够了，我不要剪发,"Well, I'll have no more of it. I don't want my hair cut.",I'm tired of not cutting my hair.,I've had enough. I don't want to cut my hair.
我不管眉毛高低，我要原来样子,I don't want my eyebrows up or down. I want them where they are.,"I wanted to look like I was, no matter how tall my eyebrows were.","No matter how tall my eyebrows are, I want to be who I am."
一张樱唇也没有优越的功用,And I see no functional advantage in a marvelous mouth.,A lip is not a superior function.,There's no such thing as a perfect lip.
我要走了，若果有人阻止我 被剪头发的不会是我,"I'm leaving now, and if anyone makes a move to stop me there'll be plenty of hair cut, and it won't be mine.","I'm going to go, and if anyone stops me, it won't be me who gets cut.","I'm leaving, and if anyone stops me, it won't be me."
抓她回来，要活捉,"Bring her back, girls, alive!","Get her back, and get her alive.","Get her back, get her alive."
快点,Hurry up.,Hurry up.,Hurry up.
快点，这边,Hurry. Over here.,"Hurry up, this way.","Hurry up, this way."
你看不到门外那盏灯吗？,"Hey, didn't you see that light outside?",Can't you see the light outside the door?,Can't you see the light outside the door?
走投无路时顾不了这么多,"In desperation, one does not examine one's avenue of escape.",I couldn't think of that much when I was walking around.,I couldn't think so much when I walked out of nowhere.
原来是你,"Oh, it's you.",It turns out you are.,It turned out to be you.
若我损毁了底片，很抱歉,I'm sorry if I spoiled a print.,I'm sorry if I messed up the footage.,I'm sorry if I messed up the footage.
不要紧，你为何会走投无路？,That's alright. What's all the desperation about?,"Don't worry, why are you walking around?","Don't worry, why are you walking around?"
那些人,Those people.,These people.,Those people.
她们不顾人家的感受,They don't care about anyone's feelings.,They don't care about their family.,They don't care about their family.
拉扯我的衣服，又剪我的头发,Pulling my clothes and cutting my hair.,And he pulled my clothes off and cut my hair.,She pulled out my clothes and cut my hair.
那个女孩在里面吗？,- - Is that girl in there?,Is that girl in there?,Is that girl in there?
不要出卖我,Please don't give me away!,Don't sell me out.,Do not betray me.
或许你该给她们一个机会,Maybe you should give them a chance...,Maybe you should give them a chance.,Maybe you should give them a chance.
我进来时没有人在这里,There was no one here when I came in.,There was no one here when I came in.,There was no one here when I came in.
若你看到她，别让她走,"If you see her, hang on to her.","If you see her, don't let her go.","If you see her, don't let her go."
好的,I'll do that.,That's good.,That's good.
是我错，我认为你可以当模特儿,I'm afraid it's all my fault. I thought you'd make a good model.,I think you can be a model.,It's my fault. I think you can be a role model.
是你的主意？,This is your idea?,Is that your idea?,Is that your idea?
对，你要告的人是我？,"Yeah, I'm the one you sue.","Yes, is it me you're going to sue?","Yes, is it me you're going to prosecute?"
我怎可以当模特儿？,"Oh, how could I be a model?",How can I be a model?,How can I be a model?
我对外表没有幻想，我样子滑稽,I have no illusions about my looks. I think my face is funny.,I had no fantasies about what I looked like.,I don't have any fantasies about what I look like.
美琪也是那样说,That's what Maggie said.,And that's what the beauty says.,And that's what Megan said.
但她没有说错,"I hate to admit it, but she's right.",But she wasn't wrong.,But she wasn't wrong.
你说滑稽，我说是有趣,"What you call funny, I call interesting.","You said it was funny, I said fun.","You say it's funny, and I say fun."
这想法太荒谬了,It's too ridiculous even to think about.,This is ridiculous.,This idea is ridiculous.
我不能做的 让我作评判吧,- I couldn't do it. - Let me be the judge of that.,I can't do that. Let me judge.,I can't do that. Let me judge.
若你不适合我也不会带你去巴黎,I wouldn't take you to Paris if I didn't think you'd work out.,"If you're not my type, I won't take you to Paris.","If you don't fit in with me, I'm not going to take you to Paris."
巴黎？,- Paris?,Paris?,What about Paris?
是的，这样看吧...,- Yeah. Look at it this way.,"Yeah, look at this.","Yeah, look at that."
当模特儿也不是你想像般坏,Modeling may not be as bad as you think.,And the model isn't as bad as you think.,When the model isn't as bad as you think it is.
你可以去巴黎见你的方教授,"If it is, you'll be in Paris. You can see your friend Professor Whosis.",You can go to Paris and see your professor.,You can go to Paris and see your professor.
霍？,- Flostre? - Yeah.,What?,What?
你可以跟他交谈和去他的讲座,You can talk to him and go to his lectures.,You can talk to him and go to his lecture.,You can talk to him and go to his lecture.
那不算是个损失,That way it won't be a total loss.,That's not a loss.,That's not a loss.
一个结束的途径,A means to an end.,A path to the end.,A path to the end.
或是个开始，视乎进展如何,"Or a means to a beginning, according to how it works out.","Or a start, depending on how you progress.","Or a start, depending on how it progresses."
看一下,"Now, let's see.",Look at this.,Look at this.
这个,There we are.,This one.,This one.
不 有什么问题？,"- Oh, no. - What's the matter?",What's wrong?,What's wrong?
你怎么用那个来塑造一个模特儿,How can you possibly make a model out of that?,How do you use that to shape a model?,How do you use that to shape a model?
你不是认真的吧,You can't be serious.,You're not serious.,You're not serious.
我完成后你就会像...,"When I'm done, you'll look like...","And when I'm done, you're going to be like...","When I'm done, you're going to be like..."
你认为树木美丽？,What do you call beautiful?,Do you think trees are beautiful?,Do you think trees are beautiful?
你会像一棵树,A tree. You'll look like a tree.,You'll be like a tree.,You'll be like a tree.
请观赏我们的优秀女郎,"Ladies, feast your eyes on our Quality Woman.",Please observe our beautiful girl.,Take a look at our beautiful girl.
很漂亮！,Marvelous!,That's beautiful!,It's beautiful!
抱歉我引起的麻烦，我不晓得,I'm sorry about the trouble. I didn't realise.,"I'm sorry for the trouble I caused, I don't know.","I'm sorry for the trouble I caused, I don't know."
由我道歉才对，我的态度恶劣,"My dear, let me do the apologizing. I behaved abominably.","I'm sorry, I was so mean.","I'm sorry, I was so mean."
她会去巴黎，她迫不及待了,She's agreed to go to Paris. She can hardly wait.,"She's going to Paris, and she can't wait.","She's going to Paris, and she can't wait."
好极了！,Marvelous!,That's great!,That's great!
这不是有失尊严，是结束的途径,"This is not a loss of integrity. It is a means to an end, and...","It's not a lack of dignity, it'll be the end.",It's not a lack of dignity.
没时间说了，在机上告诉我们吧,There's no time for talking. Tell us on the plane.,I don't have time to talk about it. Tell us on the plane.,I don't have time for that. Tell us on the plane.
大家快工作，要去巴黎了,"Alright, girls, we've got to get cracking.",We're going to Paris to work.,We're going to Paris to get to work.
想游巴黎吗？,- Would you like to take a guided tour of Paris?,Do you want to go to Paris?,Do you want to go to Paris?
我们不是游客,"- No no no, we're not tourists.",We are not tourists.,We are not tourists.
我们像整天打呵欠的人吗？,Do we look like those people who run around gaping all day?,Are we like the people who are in debt all day?,Are we like the people who are in debt all day long?
他们不了解来这里工作的人,I guess they can't understand anyone coming to Paris to work.,They don't know who's working here.,They don't know who works here.
我们该马上回酒店休息,We should all go straight to our hotels and get some rest.,We should go back to the hotel and rest.,We should go back to the hotel and rest.
我累透了 我感受得到,- I am exhausted. - I know how you feel.,"I was tired, I felt it.","I'm tired, I can feel it."
"我累得连说""我很累""都不行",I'm so tired it's an effort for me to say I'm tired.,"I'm tired of saying, ""I've been tired"".","I'm tired of not even saying, ""I am tired""."
再见，我会联络你们,Goodbye.,See you later. I'll get back to you.,I'll get back to you.
你好,Bonjour!,You are welcome.,How are you?
怎么样？,"Well, how was that?",How is that?,How is that?
杜，我听不到，我在用法文思考,"Duval! I can't hear myself think, and I'm trying to think in French.","Du, I can't hear you. I'm thinking in French.","Du, I can't hear you. I'm thinking in French."
美琪 我又在打电话,- Maggie! - Ssh! I'm calling again.,I'm on the phone again.,I'm on the phone again.
我不该替你设计新系列,I shouldn't design a collection for you.,I shouldn't have designed a new series for you.,I shouldn't have designed a new series for you.
我快被著名时装杂志杯葛了 全为了一个没有出现的女孩,"I am jeopardizing my position with Harper's Bazaar and Vogue, all for a girl who does not appear.","I was soon caught by a famous fashion magazine, all for a girl who didn't show up.","I was about to get caught by a famous fashion magazine, all for a girl who didn't show up."
你不会被杯葛，放松点，她会来,You're too important for jeopardy. Relax. She will be here without fail.,"You won't be bothered, relax a little, she'll come.","You won't be bothered, relax, she'll come."
你说她十点钟来，现在五点半了,You said she would be here at ten this morning. It is now past five.,"You said she came at 10:00, and now it's 5:30.","You said she came at 10:00, and now it's 5:30."
她不在酒店 忘记她好了,- She's not at the hotel. - Forget about her.,"She's not at the hotel, she'll forget about her.","She wasn't at the hotel, and she'd forgotten about herself."
我们开始了宣传，没时间换人了,We've started the campaign. There isn't time to get someone else.,"We started campaigning, and we didn't have time to change people.","We started campaigning, and we didn't have time to change people."
她在哪里？,"Well, where is she?",Where is she?,Where is she?
可能在铁塔顶或是塞纳河底,"Maybe at the top of the Eiffel Tower, or the bottom of the Seine.",Maybe on top of the Iron Tower or at the bottom of Senna.,Maybe on the top of the Iron Tower or at the bottom of Senna.
可能交通阻塞，我怎么知道？,Maybe she's in a traffic jam. How should I know?,How do I know?,"Could be traffic jams, how do I know?"
我会举行盛会替优秀女郎命名的,I'm throwing a shindig to christen the Quality Woman.,I'm going to have a ceremony named after the bride.,I'm going to have a ceremony named after the bride.
让迪克在巴黎找场地吧,Leave it to Dick to find a delicatessen in Paris.,Tell Dick to find a place in Paris.,Tell Dick to find a place in Paris.
从加州内珀村进口的,"Imported all the way from Napa Valley, california.","imported from the village of Naper, California.","imported from Naper, California."
佛罗里达出产的瓜,Melons from Florida.,Florida's first potato.,This is a Florida butterfly.
那位特别嘉宾在哪里？,About the guest of honour. Where is she?,Where is that special guest?,Where is that special guest?
她怎样？,How does she look?,How is she?,How is she?
如果她在就是隐形了,"If she's here, she looks invisible.","If she is, she's invisible.","If she is, she's invisible."
她没有出现？,- She didn't show?,She didn't show up?,She didn't show up?
没有,- She did not.,"No, not at all.","No, not at all."
这几位先生等着替她装扮,"These gentlemen are waiting to do her face, her hair.",These men were waiting for her outfit.,These men were waiting for her outfit.
杜要量尺寸，她在哪里？,Duval needs measurements. Where is she?,"Du needs to measure the size, where is she?","Du wants to measure the size, where is she?"
我有个主意,"I wouldn't like to swear in court, but I have a pretty good idea.",I have an idea.,I have an idea.
别说出来,Do keep it to yourself!,Don't say that.,Don't say that.
我明天早上十点带她来,I'll have her here tomorrow morning at ten o'clock without fail.,I'll bring her in tomorrow at 10:00 a.m.,I'll bring her in tomorrow at 10:00 a.m.
请随便享用,"In the meantime, be my guests.",Please enjoy it.,Please enjoy it.
全中,Strike.,All of them.,All of them.
一定是这里了,This must be the place.,It must be here.,It must be here.
谢谢你,Thank you.,Thank you.,Thank you.
先生，芝芝想跳舞,"Monsieur, Gigi would like to dance.","Sir, the chicken dance.","Sir, she danced."
芝芝是谁？,- Who's Gigi?,Who is Cheese?,Who is Cheese?
我是芝芝,- I am Gigi.,I'm the cheese.,I'm the cheese.
改天吧，我来接太太和孩子,Some other time. I just stopped by to pick up the wife and kids.,"Damn it, I'm coming for my wife and kids.","Damn it, I'm coming for my wife and kids."
好味道的东西都没有营养,All that is delicious is not nutritious.,Nothing that tastes good is nutritious.,Nothing that tastes good is nutritious.
贪婪的...,"Avaricious, av...",Greedy...,Greedy.
我觉得有种敌意的感应,I feel a hostile vibration.,I felt a kind of hostility.,I felt a kind of hostility.
那是我，对不起,That'll be me. Sorry.,That was me. Sorry.,That was me. Sorry.
他做了很久吗？,Has he been that way long?,How long has he been doing this?,How long has he been doing this?
三小时，是集中精神的至高境界,Three hours. It is the ultimate in concentration.,Three hours is the highest level of concentration.,Three hours is the height of concentration.
停下来就很舒服,Feels so good when you stop.,It's very comfortable to stop.,It's very comfortable to stop.
我深信在不足十年内... 人们会明白共鸣论才能达致和平,"I have no doubt in my mind that in less than ten years, people everywhere will know that only empathicalism can bring peace.","I'm sure that in less than a decade, people will understand that consensus is the key to peace.","I'm confident that in less than a decade, people will understand that consensus is the key to peace."
靠了解达致和平是唯一真正...,Peace through understanding is the only real...,The only real way to achieve peace is to understand it.,Understanding peace is the only real...
你好吗？,"Well, hello, how are you?",Are you okay?,Are you all right?
很好，谢谢，你呢？,"Just fine, thank you. How are you?","Okay, thank you. How are you?","All right, thank you. How are you?"
你来了巴黎多久？,How long have you been in Paris?,How long have you been in Paris?,How long have you been in Paris?
这是颜先生，这些是我的朋友,This is Mr Avery. These are my friends.,"This is Mr. Yang, and these are my friends.","This is Mr. Yang, and these are my friends."
你们好吗？,"How do you do, boys?",Are you all right?,Are you all right?
可介意我单独跟这位小姐谈谈？,Would you mind if I had my own conversation with this lady?,Would you mind if I spoke to this lady alone?,Would you mind if I spoke to this young lady alone?
他们不懂英语 你在说英语,- They don't understand English. - You were talking English.,"They don't understand English. You speak English,","They don't understand English, and you speak English."
很难解释的，是共鸣论的一部分,"It's hard to explain, but it's all part of empathicalism.","It's hard to explain, but it'll be part of the consensus.",It's hard to explain.
我们不必用言语沟通,We don't have to communicate with words.,We don't have to communicate with words.,We don't have to communicate with words.
他们通过我的感觉和声调理解我,"They understand me through the way I feel, and the tone of my voice.",They understood me through my senses and my voice.,They understood me through my senses and my voice.
有点像狗 很明显你不明白,"- Sort of like a dog? - Obviously, you don't understand!","It's kind of like a dog, and you obviously don't understand.",It's kind of like a dog. You obviously don't understand.
谁请客？,Who's buying the wine?,Who is the guest?,Who is inviting guests?
是我 我比你想像的更明白,- I am. - I understand more than you think!,I understand that better than you think.,It's me. I understand better than you think.
若你说那酒...,- If you're saying that the wine...,If you say that drink...,If you say that drink...
给你看点东西,- Let me show you something.,Let me show you something.,Let me show you something.
各位，你们像一班可怜虫,"Gentlemen, may I tell you that you look like a mess of worms?",You guys are like a bunch of poor bugs.,You guys are like a bunch of poor bugs.
不单只像，你们简直就是可怜虫,"And that you not only look like, but you are, a mess of worms.","Not just like you, you're just a bunch of poor people.","Not just like you, you're just poor bastards."
我肯定你们在这里很多年 因为你们一走就会因流浪而被捕,"I'll bet you've been here all these years because if you left, you'd be picked up for vagrancy.","I'm sure you'll be here for years, because you will be arrested for wandering.","I'm sure you'll be here for years, because if you leave, you will be arrested for wandering."
很精彩 你不辩护了,- Bravo. - Your defence rests.,That's great. You're not defending yourself.,That's great. You're not defending yourself.
不是很有趣，你不属于这里,This isn't funny. You don't belong here.,"Not funny, you don't belong here.",That's not funny. You don't belong here.
你也不是，这正是我来的原因,"Neither do you, which brings us to why I'm here.","And neither are you, which is why I'm here.","Neither are you, and that's why I'm here."
先生，跟美美跳舞吗？,"Monsieur, you dance with Mimi?","Sir, do you dance with beauty?","Sir, are you dancing with beauty?"
