cantonese,english,greedy,beam
你鍾唔鍾意唱歌？,Do you like singing?,Do you like to sing?,Do you like to sing?
我可唔可以同屋企人一齊嚟㗎？,May I bring my family along?,Can I come with my family?,Can I come with my family?
如果唔係為咗養家，我會辭咗份工。,"If it were not for my family, I would give up this job.",I would quit my job if I didn't have to raise a family.,I'd quit my job if it wasn't for my family.
我揸車送你返屋企啦。,I'll drive you home.,I'll take you home by car.,I'll drive you home.
啲屋一間一間噉著咗火。,The houses caught fire one after another.,The houses were burning.,The houses burned down one by one.
我返到屋企嗰陣好鬼肚餓。,"When I got home, I was very hungry.",I was hungry when I got home.,"When I got home, I was hungry."
我返緊屋企嗰陣撞到佢。,"On my way home, I met him.",I ran into him on my way home.,I ran into him on my way home.
我一返到屋企就開始落雨喇。,"As soon as I got home, it began to rain.",It started to rain when I got home.,"When I got home, it started raining."
我漏咗張卡喺屋企。,I left my card at home.,I lost my card at home.,I lost my card at home.
吽喺屋企一啲都唔好玩。,Staying home isn't fun.,It's not fun to be at home.,It's not fun at home.
你唔覺得間屋喺度震緊咩？,Don't you feel the house shaking?,Don't you think the house is shaking?,Don't you think the house is shaking?
我放完暑假即刻就要考試喇。,I'll have exams right after the summer holidays.,I'm going to take the exam right after I leave the summer.,I'm going to take the exam right after my summer vacation.
唔知過咗咁多年佢仲認唔認得我呢？,I wonder if she will recognize me after all those years.,"You know, after all these years, she still doesn't know me?","You know, after all these years, she still doesn't know who I am?"
你幾點返屋企呀？,When will you come home?,What time did you get home?,What time did you get home?
你知唔知間舖頭幾點閂門呀？,Do you know what time the shop is closed?,Do you know how many doors there are?,Do you know how many doors there are?
你幾時返嚟呀？,When will you be back?,When are you coming back?,When are you coming back?
你點解咁諗嘅？,Why do you think so?,Why do you think that?,Why do you think that?
你做咩無嚟到嘅？,Why didn't you come?,What did you not come for?,What didn't you do?
你買咗啲乜嘢呀？,What did you buy?,What did you buy?,What did you buy?
買咗啲咩呀你？,What did you buy?,What did you buy?,What did you buy?
你maj咩㗎？,What's your major?,What are you doing?,What are you doing?
加油！,Come on!,Get the gas!,Fuel!
你喺度諗緊啲咩呀？,What are you thinking about?,What are you thinking?,What are you thinking?
內容重要過表達方法。,What to say is more important than how to say it.,Content is more important than how you express it.,Content is more important than how you express it.
你想飲啲咩呀？,What will you have to drink?,What do you want to drink?,What do you want to drink?
飲乜嘢呀？,What would you like to drink?,What do you drink?,What do you drink?
我諗我搞得掂㗎喇。,I think I can handle it.,I think I'm going to make it.,I think I can do it.
點解係我?,Why me?,Why me?,Why me?
我想飲啲凍嘢。,I want something cold to drink.,I want some cold drinks.,I want a cold drink.
我想食啲嘢。,I want something to eat.,I want to eat something.,I want something to eat.
可唔可以俾啲嘢我食呀？我餓到暈咁濟喇。,Please give me something to eat. I am so hungry.,Can you give me something to eat? I'm so hungry.,Can you give me something to eat? I'm so hungry.
我可唔可以講兩句呀？,May I say something?,Can I say two words?,Can I say two words?
搞咩呀？,What's going on?,What are we doing?,What are you doing?
如果佢哋知道會發生埋啲噉嘅事，實會改用第二啲計劃啦。,"Had they known what was about to happen, they would have changed their plans.","If they knew that something like this was going to happen, they would change their plans.","If they knew this was going to happen again, they'd change their plans."
你有冇養寵物㗎？,Do you have any pets?,Do you have pets?,Do you have pets?
如果我好夜都未返，你就自己瞓先啦，唔使等我。,"If I should be late getting home, please don't wait up for me.","If I don't come back at night, you go to bed yourself, and don 't wait for me.","If I'm not back at night, go to bed by yourself, and don't wait for me."
唔該你較細聲啲吖。,"Turn down the volume, please.",Please be a little lower.,Please keep your voice down.
你鍾意聽音樂多啲吖，定係唱歌多啲呀？,Do you like listening to music or singing songs?,Do you like to listen to music more or sing more?,Do you like to listen to music more or sing more?
唔好嘈呀，會嚇走啲雀仔㗎。,Don't make any noise or you'll scare the birds away.,"No, it'll scare the birds away.","Don't worry, it'll scare the birds away."
我喊咗成晚。,I cried all night long.,I cried all night.,I cried all night.
我唔係同你講嘢，我係同隻馬騮講嘢。,I'm not talking to you; I'm talking to the monkey.,"I'm not talking to you, I am talking with a horse.","I'm not talking to you, but to the horse."
你同我講緊嘢呀？,Are you talking to me?,Are you talking to me?,Are you talking to me?
你唔好⋯⋯唔好噉同我講嘢。,You don't... you don't talk to me like that.,You can't talk to me like that.,You don't have to talk to me like that.
坐飛機去沖繩要坐幾多個鐘㗎？,How many hours does it take to go to Okinawa by plane?,How many hours does it take to get to the beach by plane?,How many hours does it take to get to the beach by plane?
個騎士發誓向國王忠誠。,The knight swore an oath of allegiance to the king.,The knight swore allegiance to the king.,The knight swore allegiance to the king.
橫濱係日本第二大嘅城市。,Yokohama is the second largest city in Japan.,Yokohama is the second largest city in Japan.,Yokohama is the second largest city in Japan.
隻手污糟嗰陣千祈唔好捽眼。,Never rub the eyes when the hands are dirty.,Don't look away when your hands are dirty.,Don't close your eyes when your hands are dirty.
你可以拎呢本書走，但係唔好整污糟佢喎。,You may take this book as long as you keep it clean.,"You can take this book away, but don't mess it up.","You can get rid of this book, but don't screw it up."
你有冇鉛筆呀？,Have you got a pencil?,Do you have a pencil?,Do you have a pencil?
舊石遠睇好似人樣。,"Seen from distance, the rock looked like a human face.",The old stone looks like a human.,The old stone looks like a human.
我想問吓火車站點行呀？,Could you please tell me how to get to the station?,I want to know where the train station is.,I want to know where the train station is.
車站就喺呢度附近。,The station is nearby.,The bus station is nearby.,The bus station is nearby.
佢係英國人，所以對英式用法同美式用法之間嘅分別特別敏感。,"As an Englishman, he is particularly sensitive to the differences between English and American usage.","He is British, so he is particularly sensitive to the differences between English and American usage.","He is British, so he is particularly sensitive to the differences between English usage and American usage."
英國好少地震。,They have few earthquakes in England.,There are very few earthquakes in England.,There are very few earthquakes in England.
你識唔識講英文㗎？,Can you speak English?,Do you speak English?,Do you speak English?
英文好難講得好。,To speak English well is difficult.,English is hard to speak.,English is hard to speak.
你啲英文學成點呀？,How are you getting along with your English study?,How did you learn English?,How did you learn English?
我會永遠同你喺埋一齊。,I'll be with you forever.,I will always be with you.,I will always be with you.
套戲好唔好睇呀？,Was the movie good?,You don't like the show?,Don't you like the show?
套戲好唔好睇呀？,Did you enjoy the film?,You don't like the show?,Don't you like the show?
啲電影全部都好悶。,All the films are boring.,All the movies are boring.,All the movies are boring.
個司機問我應該行邊邊。,The driver asked me which way to go.,The driver asked me where I should go.,The driver asked me where I should go.
佢啲駕駛技術好差，但係都勉強通過咗個駕駛考試。,He managed to pass his driving test even though he was a poor driver.,"They were poor drivers, but they passed the driving test.","They were poor drivers, but they passed the driving test."
好似就落雨囉噃。我哋閂埋啲窗啦。,It looks like rain. We had better shut the windows.,It's raining. We're closing the windows.,It's raining. We're closing the windows.
如果唔落雨嘅話，你可以去踩單車。,You may go cycling if it doesn't rain.,"If it's not raining, you can ride a bike.","If it's not raining, you can ride a bike."
報紙有冇話會落雨呀？,Did the newspaper say it was going to rain?,Did the newspapers say it was going to rain?,Did the newspapers say it was going to rain?
雨由琴晚開始一直落到而家。,It's been raining since last night.,It has been raining since last night.,It has been raining since last night.
我哋最好喺個天開始落雨之前出發。,We had better start before it begins to rain.,We'd better get out before the day starts raining.,We'd better get out before the day starts raining.
我諗就快落雨喇。,I think it's going to rain.,I thought it was raining.,I thought it was going to rain.
我唔鍾意落雨嗰陣出街。,I don't like to go outside when it's raining.,I don't like to go out when it rains.,I don't like going out when it rains.
佢驚會落雨，所以就閂埋咗個窗。,He closed the window for fear of rain.,"She was afraid of rain, so she closed the window.","She was afraid it was going to rain, so she closed the window."
宇宙裏面係無空氣嘅。,There is no air in space.,There is no air in the universe.,There is no air in the universe.
我舉唔起隻右手。,I can't lift my right arm.,I can't raise my right hand.,I can't raise my right hand.
我隻右眼咩都睇唔到。,I can't see anything with my right eye.,My right eye can't see anything.,My right eye can't see anything.
唔好喺背後講人壞話。,Don't speak ill of others behind their back.,Don't talk badly about people behind the scenes.,Don't gossip behind the scenes.
你唔應該喺背後講人壞話。,You shouldn't talk about people behind their backs.,You shouldn't be gossiping behind the scenes.,You shouldn't gossip behind the scenes.
我對佢一見鐘情。,She attracted me at first sight.,I fell in love with her.,I fell in love with her.
你係做錯咗，但係都唔可以怪你嘅。,"On the one hand, you are wrong, but on the other hand, I can't blame you for that.","You're wrong, but you can't blame yourself.","You're wrong, but you can't blame yourself."
不如唞吓先啦？,What do you say to taking a rest?,Should we go first?,Why don't we get started?
有啲大學教授好鍾意遲嚟早走。,Some college teachers come to class late and leave early.,Some university professors like to leave early.,Some university professors like to leave early.
我為咗搭頭班火車，晨咁早就起咗身。,I got up early in order to catch the first train.,I got up early in the morning to take the first train.,I got up early in the morning to take the first train.
我永遠都係睇咗體育版先。,I always read the sports page first.,I always watched sports.,I've always watched sports.
最近嘅銀行喺邊呀？,Where is the nearest bank?,Where's the nearest bank?,Where's the nearest bank?
成晚又落吓雨，又停吓雨。,It was raining on and off all night long.,It rained all night and stopped.,It rained all night and stopped.
我請你飲嘢吖。,I'll buy you a drink.,I'll buy you a drink.,Let me get you something to drink.
用一年半載就精通到英文係冇可能嘅事。,It is impossible to master English in a year or so.,It's impossible to master English in a year and a half.,It's impossible to master English in a year and a half.
我記得我有一次喺街度見過佢。,I remember seeing her once on the street.,I remember seeing him once in the street.,I remember seeing him once in the street.
我諗極都諗唔起佢叫咩名。,"I'm trying hard, but can't think of her name.",I don't think I remember what it was called.,I guess I can't remember his name.
一個人幫唔到一班人，但係一班人幫到一個人。,"One can't help many, but many can help one.","One person can't help a group of people, but a team can help one person.","One person can't help a group of people, but one group helps one person."
不如一齊去睇戲吖。,Would you like to go see a movie with me?,We should go see a movie.,Let's go see a movie together.
你一個禮拜沖幾多次涼㗎？,How often a week do you take a bath?,How many times a week do you bathe in cold water?,How many times a week do you take a cold shower?
我等咗一個鐘，但係佢冇出現。,"I waited for an hour, but he didn't appear.","I waited an hour, but he didn't show up.","I waited an hour, but he didn't show up."
我已經等咗你成個幾鐘喇。,I've been waiting for you for over an hour.,I've been waiting for you for hours.,I've been waiting for you for hours.
我前日喺火車度撞到佢。,I met her by chance on the train the day before yesterday.,I bumped into him the other day on the train.,I bumped into him on the train the other day.
第一眼望落去，嗰條題目好似好易噉。,"At first sight, the question seemed easy.","At first glance, the title seems simple.","At first glance, the title seems simple."
唔該唱首歌啦。,Please sing a song.,Please sing a song.,Please sing a song.
第一，我冇錢，第二，我冇空閒時間。,"For one thing, I've no money, and for another, I've no leisure.","One, I don't have money, and two, there's no free time.","First, I don't have money, and second, there's no free time."
個醫生雖然已經盡晒力，但係個病人都係冇幾耐就死咗。,All the doctor's efforts were in vain and the man soon died.,"The doctor did his best, but the patient died soon after.","The doctor did his best, but the patient died soon after."
你最好聽個醫生講。,You had better do as the doctor advised you.,You should listen to the doctor.,You should listen to the doctor.
你去睇咗醫生未呀？,Did you go to the doctor?,Have you been to the doctor?,Did you go to the doctor?
個分別係佢做嘢做得勤力過你。,The difference is this: he works harder than you.,The difference is that he works harder than you.,The difference is that he works harder than you do.
我去過北海道。,I've been to Hokkaido before.,I went to the Heisei Highway.,I went to Hokkaido.
個天開始黑囉喎。唔該幫我開咗盞燈佢吖。,It's getting dark. Please turn the light on for me.,It's getting dark. Please turn on the lights.,It's getting dark. Please turn the lights on for me.
天都開始黑喇。返屋企囉！,It is getting dark. Let's go home.,It's getting dark. Go home now!,It's getting dark. Go home now!
個天黑咗之後就唔好俾佢出街喇。,Don't let her go out after dark.,Don't let him out after dark.,Don't let her out after dark.
個天好黑，但係我哋都搵到路返屋企。,"Dark as it was, we managed to find our way home.","It was dark, but we all found our way home.","It was dark, but we all found our way home."
有機菜咁多人鍾意係因為佢哋又安全又好食。,Organic vegetables are popular because they're safe and tasty.,Many people like organic because it's safe and nutritious.,Many people like organic food because it's safe and nutritious.
有機菜安全好食，所以咁多人食。,Organic vegetables are popular because they're safe and tasty.,"Organic food is safe to eat, so so many people eat it.","Organic foods are safe to eat, so many people eat them."
最後一個關於握手嘅小貼士：記住笑。,I have one final piece of advice related to handshakes: Remember to smile.,And the last little stickers about shaking hands: Remember to smile.,And the last little sticker about shaking hands: Remember to smile.
日頭唔好講人。,Speak of the devil and he is sure to appear.,Don't talk about anyone during the day.,Don't talk about anyone during the day.
壞習慣唔係咁易戒㗎。,It is not easy to get rid of bad habits.,Bad habits are not so easy to quit.,Bad habits are not so easy to quit.
壞習慣好難戒。,It is not easy to get rid of bad habits.,Bad habits are hard to break.,Bad habits are hard to break.
壞習慣好難改。,It is not easy to get rid of a bad habit.,Bad habits are hard to change.,Bad habits are hard to change.
一養成咗壞習慣，就好難改返正㗎喇。,"A bad habit, once formed, is difficult to get rid of.",It's hard to change bad habits once you've got them.,It's hard to change bad habits once you've got them.
我哋生活喺文明社會。,We live in a civilized society.,We live in a civilized society.,We live in a civilized society.
我哋逼咗入間細房度。,We were crowded into the small room.,We forced them into a small room.,We were forced into a small room.
我哋有某啲地方同佢哋唔同。,We differ from them in some respects.,We're different in some ways.,We're different in some ways.
我鍾意坐火車多過搭飛機。,I prefer traveling by train to flying.,I prefer to take the train than the plane.,I prefer to take the train than the plane.
我講極佢都唔信佢做錯咗。,I could not convince him of his mistake.,"I'm telling you, he doesn't believe he's wrong.",I told him he didn't believe he was wrong.
我有好多嘢要做。,I have a lot of work to do.,I have a lot to do.,I have a lot to do.
美國嘅首都係華盛頓定係紐約呀？,"Which is the capital of the United States, Washington or New York?",Is the head of the United States Washington or New York?,"Is the headquarters in Washington, D.C., or in New York?"
唔該俾杯酒我吖。,I'd like to have a glass of wine.,"Give me a glass of wine, please.","Give me a glass of wine, please."
洛杉磯係我想去嘅其中一個地方。,Los Angeles is one of the places that I'd like to visit.,Los Angeles is one of the places I want to go.,L.A. is one of the places I want to go.
支火箭而家應該已經到咗月球喇。,The rocket ought to have reached the moon by now.,The rocket should have reached the moon by now.,The rocket should be on the moon by now.
而家嘅貸款利率好高。,Interest on loans is high at present.,The interest rate on loans is high.,The current interest rate on loans is very high.
我喺度搵緊啲講古羅馬歷史嘅書。,I'm looking for books on Roman history.,I was looking for a book about ancient Rome.,I'm looking for books on the history of ancient Rome.
羅馬有好多古建築。,Rome has a lot of ancient buildings.,Rome has many ancient buildings.,Rome is full of ancient buildings.
阿 Lucy 實會嚟嘅。,Lucy is certain to come.,Lucy is coming.,Lucy is coming.
琳達伸咗條脷出嚟。,Linda stuck her tongue out.,Linda reached out.,Linda pulled the trigger out.
Linda好鍾意朱古力。,Linda loves chocolate.,Linda is a chocolate lover.,Linda loves chocolate.
有啲蘋果喺棵樹度跌咗落嚟。,Some apples fell down from the tree.,Some of the apples fell from the tree.,Some of the apples fell from the tree.
可唔可以借你部收音機俾我呀？,Can I borrow your radio?,Can I borrow your radio?,Can I borrow your radio?
聽聽吓收音機，我瞓著咗。,I fell asleep while listening to the radio.,"Listen to the radio, I fell asleep.","Listen to the radio, I fell asleep."
可唔可以將部收音機較細聲少少呀？,Could you turn down the radio?,Can you turn the radio down a little bit?,Can you turn the radio down a little bit?
你有冇打火機呀？,Have you got a lighter?,Do you have a fire engine?,Do you have a fire extinguisher?
你有冇打火機呀？,Do you have a lighter?,Do you have a fire engine?,Do you have a fire extinguisher?
你冇嘢吖嘛？,You all right?,You got nothing?,Don't you have anything?
我成日都醒唔起佢個名。,Her name often escapes me.,I don't remember her name.,I don't always remember her name.
你日日都係做埋啲一模一樣嘅嘢，乜唔會覺得悶嘅咩？,I wonder if you don't get tired of doing the same thing every day.,Why don't you just do the same thing every day and get bored?,"If you do the same thing every day, why don't you get bored?"
揸慢啲。,Drive slowly.,Slow down.,Slow down.
尋晚行雷閃電。,There was thunder and lightning last night.,I was in the lightning last night.,There was a lightning strike last night.
我有好多嘢想做，但係就係無時間做。,I simply haven't the time to do everything I want to do.,"I wanted to do a lot of things, but I didn't have time to.","I wanted to do a lot of things, but I didn't have time."
我哋卒之都見面喇！呢一刻等到我頸都長喇。,"So, we finally meet! I've waited so long for this moment.",We'll meet again! I'm going to be a little bit older.,We're going to see each other! I'm about to grow up.
你應該食多啲菜。,You should eat more vegetables.,You should eat more vegetables.,You should eat more vegetables.
小心啲揸車呀，如果唔係就會出事㗎喇。,"Drive more carefully, or you will have an accident.","Be careful with the brakes, otherwise it will work.","Be careful with the brakes, otherwise it will work."
如果我哋有多啲時間咪好囉。,I wish we had more time.,Wouldn't it be great if we had more time?,Wouldn't it be great if we had more time?
你可唔可以揸慢少少呀？,Could you drive more slowly?,Can you slow down a little bit?,Can you slow down a little bit?
有冇人仲想食批呀？,Does anyone want some more pie?,Does anyone want to eat more?,Does anyone want to eat more?
你應該食多啲生果。,You should eat more fruit.,You should eat more fruit.,You should eat more fruit.
我一定會去探佢嘅。,I'll certainly go and see him.,I'm going to go and see her.,I'm going to visit her.
梗係啦。,"Yes, of course.",It is.,That's right.
佢哋當然有啲共通點。,Of course they resemble each other in some ways.,"They have something in common, of course.","Of course, they have something in common."
萬一佢遲到噉點算呀？,What if he should happen to be late?,What if he's late?,What if he's late?
俾着我就唔濟喇。,"If I were you, I wouldn't do it.",I don't care if you give it to me.,I don't care if you give it to me.
如果天氣好嘅話，我諗住聽日出發。,I mean to go tomorrow if the weather is fine.,"If the weather is good, I think tomorrow is going to be the day.","If the weather was good, I thought I'd leave tomorrow."
如果有人嚟搵我，就同佢講話我出咗去。,"If anybody comes, tell him that I am out.","If anyone comes to see me, tell them I'm gone.","If anyone comes to see me, tell them I'm gone."
如果可以投胎嘅話，我想喺個有錢家庭度出世，咁就成世唔使憂喇。,"If I could be reborn, I would want to be the child of a rich family, then I'd be set for life.","If I could vote, I'd like to be born into a wealthy family and not have to worry about it for the rest of my life.","If I could vote, I'd like to be born into a wealthy family and not have to worry about it for the rest of my life."
我哋噉對佢，好似唔係幾好。,It would be unfair if we treated him so badly.,We don't seem to be doing very well with him.,We don't seem very good at it.
假設 A 同 B 之間有座好高嘅山，噉就要諗吓，條路應該跨過座山吖，穿過座山吖，定係直接兜過座山呢？,"If a high hill stood between A and B, it was important to decide whether the line should climb over it, pierce it with a tunnel, or make a detour to avoid it.","If there's a very high mountain between A and B, you have to think, should the road go over a mountain range, over the mountain ranges, or directly over that mountain?","Suppose there's a very high mountain between A and B, think about it, should the road go over a ridge, over the ridges, or directly over it?"
如果我唔喺限期之前搞掂，我就大檸樂喇。,There will be hell to pay if I don't make this deadline.,I'd be happy if I didn't finish it before the deadline.,"If I don't get it done before the deadline, I'm going to be very happy."
如果出咗咩事，即刻打電話俾我。,"In case anything happens, call me immediately.",Call me right away if anything happens.,"If anything goes wrong, call me right away."
如果你得閒嘅話不如一齊食飯吖？,"I'd like to invite you to lunch, if you're not busy.","If you can cook, why don't you eat dinner with me?","If you can cook, why don't you have dinner with me?"
佢聽到呢個消息，實會開心到彈起。,He would be very glad to hear the news.,He's gonna be so excited to hear this.,He'd be so excited to hear it.
如果你聽日唔去釣魚，我都唔去喇。,"If you do not go fishing tomorrow, I will not either.","If you don't go fishing tomorrow, I won' t.","If you don't go fishing tomorrow, I'm not going."
你就算真係知道個真相，而家都係扮唔知好啲。,"Even if you know the truth, you had better pretend otherwise at present.","Even if you really know the truth, you're still pretending to know it better.","Even if you know the truth, you're still pretending to know it."
你打咗電話俾佢未呀？,Have you called her yet?,Did you call him?,Did you call him?
你寫好晒啲賀年咭未呀？,Have you written all the New Year's cards already?,Have you written your Christmas cards?,Are you ready for the holidays?
你而家係大學生喇，應該努力啲讀書。,"Now that you're a college student, you should study harder.","You're a college student now, and you should work hard to get a degree.","You're a college student now, and you should try harder."
夠鐘上床瞓覺喇。,It's time to go to bed.,It's time to go to bed.,It's time to go to bed.
我想瞓多陣。,I want to sleep a little more.,I want to sleep more.,I want more sleep.
你可唔可以講慢少少呀？,"Would you speak more slowly, please?",Can you talk a little bit?,Could you slow down a little bit?
我爭啲唔記得咗。,I almost forgot it.,I forgot about the fight.,I forgot about the fight.
如果我哋再多少少錢，就買到嗰架車㗎喇。,We could have bought the car with a little more money.,"If we have less money, we can buy that car.","If we have less money, we'll buy that car."
夠鐘喇。,Time is up.,It's time.,Enough is enough.
唔使喇，唔該。,"No, thank you.","No need to, thank you.","No need, thank you."
你決定好未呀？,Have you arrived at a decision yet?,Have you decided?,Have you made up your mind?
你可唔可以俾我試多一次呀？,Will you let me try once more?,Can you give me another try?,Can you give me one more try?
我可唔可以食多嚿蛋糕呀？,May I have another piece of cake?,Can I have more cake?,Can I have more cake?
你要唔要多舊蛋糕呀？,Would you like another piece of cake?,Do you want more cake?,Do you want more cake?
就快三點喇。,It is almost three.,It's three o'clock.,It's three o'clock.
佢唔想係噉肥落去，所以咪戒食蛋糕囉。,"She does not eat cake, so as not to put on any more weight.",She didn't want to get fat so she stopped eating cake.,"She didn't want to get fat, so she stopped eating cake."
我哋都係唔好再見面喇。,It would be better for both of us not to see each other anymore.,We never see each other again.,We never see each other again.
食咗晏未呀？,Have you finished eating your lunch?,Have you eaten the chili?,Have you eaten rice?
而家已經十一點喇。我一定要走喇。,It's already eleven o'clock. I must be leaving now.,It's now eleven o'clock. I have to go.,It's now eleven o'clock. I have to go.
過咗差唔多十年，你都仲係同以前一樣咁靚。,"It's been almost ten years, but you're as beautiful as ever.","Almost a decade later, you're still as beautiful as you were.","Almost a decade later, you're still as beautiful as ever."
瑪莉唔俾佢阿媽知，自己整咗一件蛋糕。,Mary made a cake without her mother's knowledge.,Mary didn't tell her mother she made a cake.,Mary didn't tell her mother that she had made a cake.
個餐牌有好多唔同種類嘅菜色。,There was a great variety of dishes on the menu.,There are many different types of meals.,There are so many different kinds of meals on the menu.
阿 Mary 唔知同佢講啲咩先好。,Mary is at a loss what to say to him.,Mary didn't know what to say to her.,Mary didn't know what to say to her.
阿Mary咁硬頸，唔會識道歉架嘞。,Mary is too stubborn to apologize.,"She's as hard as Mary, and she can't apologize.","She'll be as hard as Mary, and she won't be able to apologize."
阿 Mary 就嚟生日喇，我諗住整件蛋糕俾佢。,I'm going to make a cake for Mary's birthday.,"Mary's birthday is coming up, and I'm thinking of making her a cake.","Mary's birthday is coming up, and I'm thinking of making her a cake."
瑪莉到咗個巴士站嗰陣，架尾班巴士已經走咗喇。,"When Mary reached the bus stop, the last bus had already left.","When Mary arrived at the bus stop, the terminus had already left.","When Mary arrived at the bus stop, the terminus had already left."
我梗係信得過啦。我之前有冇俾過流料你吖？,Of course you can trust me. Have I ever given you a bum steer before?,I can't believe it. Have I ever been paid to do that before?,I can't believe it. Have I ever paid you a fee before?
企喺嗰度嗰個女仔就係 Mary 喇。,The girl standing over there is Mary.,The girl standing there was Mary.,The girl standing there was Mary.
喺嗰度游緊水嗰個男仔係邊個嚟㗎？,Who is the boy that is swimming over there?,Who is that boy swimming in the water?,Who is this boy swimming in the water?
賣晒喇！,All sold out!,It's sold out!,It's sold out!
成村人喺度等緊你呀。,Everybody is waiting for you.,The adults are waiting for you.,The adults are waiting for you.
大家都想坐喺佢隔籬。,Everybody wants to sit beside her.,Everyone wants to sit next to him.,Everyone wants to sit next to him.
你要喺佢哋返嚟之前做好啲功課。,Finish your homework by the time they return.,You have to do some homework before they come back.,You have to do some homework before they come back.
個個都好專心噉聽緊。,Everyone was listening very carefully.,Everyone was listening very carefully.,Everyone was listening attentively.
迷你裙已經 out 咗啦。,Miniskirts have gone out of fashion.,The miniature is out.,The miniature is out.
一諗到好快就可以見到佢，我就好激動。,I felt a thrill of joy at the thought of seeing her soon.,I was so excited to see her soon.,I'm so excited to see her soon.
媽咪呀，你做咩唔叫爹哋自己執返自己間書房嘅？,"Mum, why doesn't Dad clean his own study?","Mom, what are you doing to keep these guys from locking their own rooms?","Mom, what are you going to do to stop them from locking their own rooms?"
我仲未知。,I don't know yet.,I don't know yet.,I don't know yet.
你仲有冇收集郵票呀？,Are you still collecting stamps?,Have you collected the stamps yet?,Have you collected the stamps yet?
我哋仲有大把時間剩。,We still have plenty of time left.,We still have a lot of time left.,We still have a lot of time left.
我講講吓嘢，佢就突然間收咗線。,He suddenly hung up the phone while I was speaking.,"I talked to him, and he cut the line.","When I talked to him, he cut off the line."
仲落緊雨。,It's still raining.,It's raining.,It's raining too.
我仲未有機會睇嗰套戲。,I haven't had a chance to see the movie yet.,I haven't had a chance to see that play.,I haven't had a chance to watch it yet.
我仲未準備好。,I'm not ready yet.,I'm not ready.,I'm not ready.
你應該同你阿爸阿媽傾吓先。,"First of all, you should talk it over with your parents.",You should talk to your parents first.,You should talk to your parents first.
德蘭修女將筆獎金用咗喺佢喺印度同埋全世界嘅事業到。,Mother Teresa used the prize money for her work in India and around the world.,Sister Dolan used the pen to fund her career in India and around the world.,Ms. Durand spent the pen money on her career in India and around the world.
阿 Mike 成日喺度𠱓佢老豆買架車俾佢。,Mike is always nagging his father to buy him a car.,Mike spent all his time trying to get his dad to buy him a car.,Mike spent all his time trying to convince his father to buy him a car.
知道個真相嘅人淨係得幾個。,Only a handful of people know the fact.,There are only a few people who know the truth.,Only a few people know the truth.
我淨係見過佢一次咁大把。,I saw him but once.,I've only seen it once so big.,I've only seen it this big once.
懷特先生好似有好多朋友。,Mr White seems to have many friends.,Mr. White seems to have many friends.,Mr. White seems to have many friends.
Bob係我朋友。,Bob is my friend.,Bob is my friend.,Bob is my friend.
阿Bob又見番佢喇。,Bob saw him again.,Bob saw her again.,Bob saw her again.
阿 Bob 老豆喺女校教書。,Bob's father teaches at a girls' school.,"Bob, my dad teaches at a girls' school.","Bob, my dad teaches at a girls' school."
男仔多數都鍾意棒球。,Most boys like baseball.,Most boys love baseball.,Most boys like baseball.
你有冇㩒到個掣呀？,Did you push the button?,Did you catch the bug?,Did you catch the bug?
粒鈕甩咗出嚟。,The button came off.,The grain is out.,The grain came out.
講嘢嗰陣唔好插隻手落個袋度。,Don't speak with your hands in your pockets.,Don't put your hands in the bag when you talk.,Don't put your hands in the bag when you talk.
我唔鍾意飲咖啡。,I don't like coffee.,I don't like coffee.,I don't like coffee.
我叫佢做「矮仔」，佢就嬲到紮紮跳。,He got mad at me for calling him Shorty.,"I call him ""the dwarf"", and he jumps.","I call him ""the dwarf"", and he jumps."
你可唔可以俾啲錢我呀？,Can you give me some money?,Can you give me the money?,Can you give me the money?
我識一間好食嘅意大利餐廳。,I know a good Italian restaurant.,I know an Italian restaurant that is delicious.,I know a good Italian restaurant.
我支原子筆冇晒墨喇。,My ballpoint pen just ran out of ink.,My atomic pen is out of ink.,My atomic pen is out of ink.
阿 Paul 舊年賺咗好多錢。,Paul made a lot of money last year.,Paul made a lot of money last year.,Paul made a lot of money last year.
唔知阿Paul點呢？,I wonder what happened to Paul.,I don't know what about Paul?,I don't know what about Paul?
你買咗啲咩俾你男朋友呀？,What did you buy for your boyfriend?,What did you buy your boyfriend?,What did you buy your boyfriend?
你有冇筆呀？,Do you have a pen?,Do you have a pen?,Do you have a pen?
如果你要筆，我就借支俾你啦。,"If you need a pen, I'll lend you one.","If you want a pen, I'll lend you one.","If you want a pen, I'll lend it to you."
揸電單車唔戴頭盔好危險㗎。,It is dangerous to ride a motorbike without a helmet.,It's dangerous to ride a motorcycle without a helmet.,It's dangerous to ride a motorcycle without a helmet.
貝絲好鍾意喺人哋講嘢嗰陣加把口落去。,Beth has a strong habit of interrupting people while they are talking.,Beth likes to keep her mouth shut when people talk.,Beth likes to keep her mouth shut when people talk.
我食齋嘅，所以如果可以嘅話我唔想食肉。,"I'm a vegetarian, so I'd rather not have meat, if that's okay.","I fast, so I don't want to eat meat if I can.","I fast, so I don't want to eat meat if I can."
我去個櫃檯度攞咗條鑰匙，跟住就搭𨋢去咗我間房嗰層樓。,"After asking for my key at the front desk, I took the elevator to my floor.","I went to the drawer and got the key, and I climbed upstairs.","I went to the drawer, got the key, and went upstairs to my room."
巴西講咩文㗎？,What is the language spoken in Brazil?,What does Brazil say?,What does Brazil say?
