cantonese,english
迷你裙已經 out 咗啦。,Miniskirts have gone out of fashion.
一諗到好快就可以見到佢，我就好激動。,I felt a thrill of joy at the thought of seeing her soon.
媽咪呀，你做咩唔叫爹哋自己執返自己間書房嘅？,"Mum, why doesn't Dad clean his own study?"
我仲未知。,I don't know yet.
你仲有冇收集郵票呀？,Are you still collecting stamps?
我哋仲有大把時間剩。,We still have plenty of time left.
我講講吓嘢，佢就突然間收咗線。,He suddenly hung up the phone while I was speaking.
仲落緊雨。,It's still raining.
我仲未有機會睇嗰套戲。,I haven't had a chance to see the movie yet.
我仲未準備好。,I'm not ready yet.
你應該同你阿爸阿媽傾吓先。,"First of all, you should talk it over with your parents."
德蘭修女將筆獎金用咗喺佢喺印度同埋全世界嘅事業到。,Mother Teresa used the prize money for her work in India and around the world.
阿 Mike 成日喺度𠱓佢老豆買架車俾佢。,Mike is always nagging his father to buy him a car.
知道個真相嘅人淨係得幾個。,Only a handful of people know the fact.
我淨係見過佢一次咁大把。,I saw him but once.
懷特先生好似有好多朋友。,Mr White seems to have many friends.
Bob係我朋友。,Bob is my friend.
阿Bob又見番佢喇。,Bob saw him again.
阿 Bob 老豆喺女校教書。,Bob's father teaches at a girls' school.
男仔多數都鍾意棒球。,Most boys like baseball.
你有冇㩒到個掣呀？,Did you push the button?
粒鈕甩咗出嚟。,The button came off.
講嘢嗰陣唔好插隻手落個袋度。,Don't speak with your hands in your pockets.
我唔鍾意飲咖啡。,I don't like coffee.
我叫佢做「矮仔」，佢就嬲到紮紮跳。,He got mad at me for calling him Shorty.
你可唔可以俾啲錢我呀？,Can you give me some money?
我識一間好食嘅意大利餐廳。,I know a good Italian restaurant.
我支原子筆冇晒墨喇。,My ballpoint pen just ran out of ink.
阿 Paul 舊年賺咗好多錢。,Paul made a lot of money last year.
唔知阿Paul點呢？,I wonder what happened to Paul.
你買咗啲咩俾你男朋友呀？,What did you buy for your boyfriend?
你有冇筆呀？,Do you have a pen?
如果你要筆，我就借支俾你啦。,"If you need a pen, I'll lend you one."
揸電單車唔戴頭盔好危險㗎。,It is dangerous to ride a motorbike without a helmet.
貝絲好鍾意喺人哋講嘢嗰陣加把口落去。,Beth has a strong habit of interrupting people while they are talking.
我食齋嘅，所以如果可以嘅話我唔想食肉。,"I'm a vegetarian, so I'd rather not have meat, if that's okay."
我去個櫃檯度攞咗條鑰匙，跟住就搭𨋢去咗我間房嗰層樓。,"After asking for my key at the front desk, I took the elevator to my floor."
巴西講咩文㗎？,What is the language spoken in Brazil?
唔該你俾布朗先生個電話我吖。,Please give me the number for Mr Brown.
葡萄酒嘅味道好受天氣影響。,The taste of wine is largely dependent upon the weather.
我係鍾意食提子，不過咁多就真係食唔落。,"I like grapes, but I can't eat so many."
佢喺個泳池游水嗰陣整唔見咗儲物櫃條鎖匙。,"While swimming in the pool, she lost her locker key."
個樽入面已經冇晒水喇。,There is no water left in the bottle.
個樽入面仲有少少牛奶淨。,There is a little milk left in the bottle.
如果我唔喺度嗰陣有人嚟搵我，唔該你話佢知我好快返嚟。,"Should anyone call on me in my absence, tell him that I will be back soon."
我想同一個鍾意打機嘅女仔結婚。,I'd like to marry a girl who likes to play video games.
老師話畀我知希特勒自殺咗喇。,The teacher told me that Hitler killed himself.
可唔可以俾多支啤酒我呀？,"Could I get one more beer, please?"
我想要啲嘢嚟送酒。,I would like to have something to munch on with my beer.
可唔可以唱首披頭四嘅歌俾我聽呀？,Will you sing me a Beatles' song?
我應唔應該搵阿 Peter 幫手呢？,Shall I ask Peter for help?
麵包係用麵粉同水做嘅，有時仲會加埋發酵粉。,"Bread is made from flour, water, and often yeast."
兩個漢堡包同埋一罐可樂吖唔該。,"Can I have two hamburgers and a coke, please?"
淨係得中國先有大熊貓。,Giant pandas live only in China.
我打排球嗰陣篤咗魚蛋。,I sprained my finger while playing volleyball.
我真係好想去巴黎睇吓。,I'm dying to see Paris.
我記得喺巴黎見過佢。,I remember meeting him in Paris.
我唔肯定。,I don't know for certain.
巴士站喺邊呀？,Where's the bus stop?
佢一落車，就聽到有人叫佢個名。,"While getting off the bus, she heard her name called."
架巴士仲未嚟。,The bus hasn't come yet.
巴士司機有責任保護乘客嘅安全。,A bus driver is responsible for the safety of the passengers.
啲巴士司機今日罷工。,The bus drivers are on strike today.
我可能漏咗把遮喺巴士度。,I may have left my umbrella in the bus.
你搭巴士去嘅話，可以慳返三分二時間。,"If you go by bus, you can get there in about one-third of the time."
我哋個沖涼房淨係得一條浴巾。,There's only one bath towel in our bathroom.
佢一開始嗰陣都唔知自己贏咗場演講比賽。,At first he did not realize that he had won the speech contest.
我一開頭唔係好鍾意佢。,"At first, I didn't like him."
過馬路之前一定要睇清楚有冇車先。,Never go across the street without looking for cars first.
個桶底穿咗個窿。,There's a hole in the bottom of the bucket.
拉緊小提琴嗰個人係邊個嚟㗎？,Who is the man playing the violin?
嗱，鎖匙。,Here are your keys.
開 party 啲嘢就全部等你嚟搞喇。,I will leave everything about the party up to you.
唔該喺個生日蛋糕上面插幾支蠟燭吖。,Please put some candles on the birthday cake.
因為我好頸渴，所以我飲咗啲水。,"Since I was thirsty, I drank water."
我個喉嚨好似比火燒噉。,My throat burns.
我口渴到死。,I'm dying of thirst.
個花樽喺張枱度留低咗啲水跡。,The wet vase left a mark on the table.
失驚無神落大雨，搞到我全身濕晒。,I was utterly soaked by the downpour.
點解佢哋淨係話我？佢哋搵我嚟祭旗咋嘛。,Why am I the only one they complain of? They're just making an example out of me and using me as a scapegoat.
隻雀仔好靚喎！,What a beautiful bird it is!
你想同我傾啲咩呀？,What do you want to talk to me about?
佢好醒目，但係就唔係好幫到手。,"He may be clever, but he is not very helpful."
做咩事都要做到最好。,"In doing anything, you must do your best."
我仲係單身。,I'm still single.
佢尋日做咩唔嚟嘅？,What prevented her from coming yesterday?
佢做咩好似好唔開心咁嘅？,Why is it that she looks so sad?
你做咩唔同佢跳舞嘅？,Why didn't you dance with him?
你做咩好似好唔開心噉嘅？,Why are you looking so sad?
你做咩喊呀？,Why are you crying?
你做咩粒聲唔出嘅？,How come you didn't say anything?
你做咩搵隻手嚟搣塊布，唔用較剪剪呀？,Why did you tear the cloth instead of cutting it with scissors?
點解？,Why?
你點解咁講嘅？,Why do you say that?
你點解唔信我呀？,Why didn't you believe me?
你今朝做咩遲到嘅？,Why were you late this morning?
唔該你借把刀俾我吖。,Please lend me your knife.
你用咩方法都好，結果都係一樣。,"However you do it, the result will be the same."
係人都做到啦。,Anyone can do that.
咁簡單嘅嘢三歲細路都識啦。,The smallest child knows such a simple thing.
今年興啲咩款嘅外套呀？,What sort of coats are in fashion this year?
無論個結果會係點，我都唔會改變我個計劃㗎喇。,"Whatever results may follow, I will carry out my plan."
你跑得幾快都追唔上佢㗎喇。,"No matter how fast you run, you won't catch up with him."
佢出盡晒力都開唔到嗰道門。,"No matter how he tried, he could not open the door."
發生咩事都好，我點都唔會出賣我班朋友。,I will never sell my friend down the river for anything in the world.
唔該可唔可以幫我喺多倫多國際機場附近book間房呀？,Would you please reserve a room near the Toronto international Airport?
隨便攞件蛋糕啦。,Take whatever cake you want.
阿Tom好後悔自己虛度咗咁多光陰。,Tom regretted having wasted a great deal of his life.
阿Tom跑得好快。,Tom can run fast.
阿Tom打爛咗個窗。,Tom broke the window.
阿Tom打爛咗個窗。,Tom broke the window pane.
阿Tom本來諗住朝頭早早啲出發，點知瞓過咗龍。,"Tom expected to leave early in the morning, but he overslept."
阿Tom好似舊石頭咁，一啲都唔識游水。,Tom can swim no more than a stone can.
阿Tom以前從來都唔食煙㗎，不過而家開始食咯。,"Tom never used to smoke, but he does now."
阿Tom係個學生。,Tom is a student.
阿Tom人好老實，我鍾意佢。,"As Tom is honest, I like him."
Tom仔好老實，唔識講大話。,Tom is too honest a boy to tell a lie.
阿Tom游水好勁。,Tom is able to swim well.
阿Tom好鍾意整蠱我。,Tom enjoys playing tricks on me.
阿 Tom 返咗鄉下。,Tom went back to his hometown.
湯姆係呢隊棒球隊嘅隊長。,Tom is the captain of this baseball team.
阿Tom同佢老豆一樣咁高。,Tom is as tall as his father.
阿 Tom 一開電視就跳咗 fuse。,No sooner had Tom turned on the TV than the fuse blew.
愛迪生發明咗電燈膽。,Thomas Edison invented the light bulb.
個個男仔都有架單車。,Each boy has a bike.
你以前住邊間屋㗎？,Which house did you live in?
有啲咩病徵㗎？,What are the symptoms?
Tony幾多歲呀？,How old is Tony?
阿 Tony 打網球真係好勁呀！,What a good tennis player Tony is!
我攰到行唔郁喇。,I'm so tired that I can't walk any longer.
我攰到行唔郁喇。,I'm too tired to walk any longer.
雖然天氣好凍，但係個細路都無著到外套。,The child had no overcoat on although it was very cold.
你好似好開心咁喎。,You look very delighted.
你心情好似好靚咁喎。,You look very delighted.
個天突然間開始變黑。,The sky suddenly began to darken.
邊本書係你㗎？,Which book is yours?
任你揀。,You may choose whichever you like.
我應該由邊個開始咧？,Which shall I begin with?
話時話，你今晚得唔得閒呀？,"By the way, are you free tonight?"
係啦，你住喺邊度呀？,"By the way, where do you live?"
吖，係啦，可唔可以俾你個地址我呀？,"By the way, what is your address?"
係喇，我有啲嘢要話你知。,"By the way, I have something to tell you."
話時話，我有啲嘢要同你講。,"By the way, I have something to tell you."
我去到邊都帶住部相機。,I take my camera wherever I go.
無論喺咩地方，過馬路之前都應該望清楚左右先。,It's a good rule to look both ways before you cross the street anywhere.
你可唔可以話我知我錯喺邊呀？,Will you tell me where I am wrong?
我好似喺邊到見過你。,I remember meeting you somewhere.
有咩唔同呀？,What's the difference?
我驚聽日會落雨。,I'm afraid it will rain tomorrow.
我好似發燒呀。,I seem to have a fever.
可唔可以舉幾個例子呀？,Please give us some examples.
小心揸車呀。,Please drive carefully.
隨便食吖。,Please help yourself.
隨便坐啦，當自己屋企得喇。,Please make yourself comfortable.
你點識佢㗎？,How did you get to know him?
佢做咩無嚟到嘅？,What prevented him from coming?
佢做咩失驚無神問埋啲咁認真嘅問題嘅？,Why all of a sudden did he ask me such a serious question?
你做咩唔出聲呀？,How come you say nothing?
你點知㗎？,How did you come to know it?
唔知點解我硬係無心機做嘢。,For some reason or other I cannot bring myself to work.
食煙唔該去出面食吖。,"If you are going to smoke, please go outside."
你做咩油咗張長凳做紅色嘅？,Why did you paint the bench red?
你做咩咁夜先嚟探我哋呀？,How come you call on us so late at night?
唔該你打電話話個結果俾我聽吖。,Please let me know the result by telephone.
可唔可以幫我攞張紙嚟呀？,"Bring me a sheet of paper, please."
請你寫低你嘅真實經驗。,Please write about your real experience.
廁所喺邊呀？,Where is the toilet?
洗手間喺邊？,Where is the toilet?
廁所喺邊？,Where is the toilet?
廁所喺邊？,Where's the toilet?
冇晒廁紙喇。,There's no toilet paper.
我諗唔起「多謝」用德文點講。,"I can't remember how to say ""Thank you"" in German."
德國喺荷蘭隔籬。,Germany adjoins the Netherlands.
我俾咗張飛個看門員睇，跟住就走咗入間戲院度。,I showed my ticket to the doorman and went into the theatre.
我開門嗰陣將個門柄擰甩咗。,"I tried to open the door, and the doorknob came off."
求吓你開門俾我入嚟啦。,"Open the door and let me in, please."
唔該你打開道門吖。,Please open the door.
你可唔可以唔好開住道門呀？,Would you please not leave the door open?
我唔見咗條門匙，所以我入唔到間屋。,"I lost the door key, so I can't enter the house."
我睇埋電視先去做功課。,I'll do my homework after I watch television.
可唔可以將部電視較細聲少少呀？,Could you please turn your television down?
而家啲細路唔鍾意睇書㗎喇，真係多得啲電視機唔少。,"Thanks to television, boys and girls are apt to neglect reading books."
你介唔介意我開電視呀？,Can I turn on the TV?
唔好意思，我要走喇。,I am afraid I must be going now.
我鍾意打網球。,I like playing tennis.
我盡量留肚食甜品。,I'm trying to save room for dessert.
我有機會會盡快見佢。,I'll meet him at the earliest opportunity possible.
我將啲空閒時間冚辦爛攞晒嚟睇書。,I spend what time I can spare reading.
張枱上面嗰部計數機係我嘅。,The calculator on the table is mine.
張枱上面有幾多本書呀？,How many books are there on the table?
我搵唔到阿Tim喎。,I can't find Tim.
佢哋一個又一個噉企咗起身，行咗出去。,One after another they stood up and went out.
阿 Paul 啱啱打咗電話比我。,Paul telephoned just now.
大就可能大咗小小，不過呢個信封冇問題㗎喇。大得濟好過細得濟吖嘛。,It might be a bit big but this envelope will do just fine. It's better to be too big than too small.
俾我睇吓。,Let me see it.
俾我睇吓你部錄影機。,Let me have a look at your video camera.
唔該攞兩支粉筆畀我。,Please bring me two pieces of chalk.
我就快走喇。,I'm about to leave.
你應該食啲嘢先走。,You should eat something before you go.
我冇飛。,I don't have a ticket.
啲飛一個禮拜都唔使就賣晒喇。,The tickets sold out within a week.
售票處喺邊呀？,Where can I buy tickets?
邊度有得買飛呀？,Where can I buy tickets?
呢排啲天氣愈嚟愈涼爽喇。,It is getting cooler and cooler.
同人哋握手嗰陣，一定要有眼神接觸。,"When you shake hands with somebody, you must look him in the eye."
有人喺呢本書到搣咗兩頁落嚟。,Someone has torn two pages out of this book.
兩公婆應該得閒去浸溫泉，過吓二人世界。,Sometimes it's good for a married couple to go to a hot spring together—just the two of them.
我開會嗰陣咁啱得咁橋坐正喺佢隔籬。,It happened that I sat next to her at a meeting.
你應該食少啲煙。,You should smoke less.
我食煙有時純粹係因為手痕。,Sometimes I smoke just to give my hands something to do.
佢去咗名古屋公幹。,He's gone to Nagoya on business.
隻紙鷂𠽤咗喺棵樹度。,The kite got caught in the tree.
我舉高咗隻手嚟截的士。,I held up my hand to stop a taxi.
如果你想俾啲貼士個的士司機，就俾多啲錢佢，跟住同佢講「唔使找」。,"If you want the taxi driver to have a tip, hand him too much money and say, ""Keep the change."""
因為我哋架的士喺途中死咗火，所以我哋要行路去個火車站度。,"As our taxi broke down on the way, we had to walk to the station."
所以我咪叫你咪鬼搭車去囉。,That's why I told you not to go by car.
所以我哋都係留喺屋企啦。,So we'd better stay home.
係又點呀屌你老母？,So fuckin' what.
所以我咪叫你唔好一個人去囉。,That's why I told you not to go by yourself.
如果你有一部時光機⋯⋯,Imagine that you have a time machine.
喺泰國，湊仔湊女唔係阿爸嘅責任，而係由阿媽一個人搞掂晒嘅。,"In Thailand, bringing up the children isn't the father's responsibility; it's entirely up to the mother."
我通常踩單車返學⋯⋯哎呀，講錯咗，應該係返工至啱。,I usually ride my bike to school. I mean to the office.
雞蛋係一打一打咁買嘅。,We buy eggs by the dozen.
佢講埋啲噉嘅嘢，實係痴咗線喇。,He must be crazy to say such a thing.
呢個只不過係個藉口。,That's just an excuse.
做嘢咁搏命為乜啊？,What's the sense of working so hard?
佢行咗咁遠路，啲腳力實好好喇。,He must be a good walker to have walked such a long distance.
你行得咁快，我跟唔到呀。,I can't keep up with you if you walk so fast.
唔使急，仲有大把時間。,There's no need to panic. There's plenty of time.
唔好問埋啲咁戇居嘅問題嚟煩我啦。,Don't bother me with such foolish questions.
冇可能係真嘅。,That can't be true.
佢實係嬲得好犀利喇，如果唔係佢唔會講埋啲噉嘅嘢㗎。,He must be very angry to say such a thing.
話俾我聽點解你要噉做。,Give me a reason for doing such a thing.
唔好怪佢。,Don't blame it on her.
我可唔可以食少少呀？,May I eat a little of it?
絕對唔可能甘做。,It is impossible to do it.
我唔知要點做。,I don't know how I should do it.
我哋大家都好清楚呢件事一定係佢做嘅。,Everybody knows for sure that it was he who did it.
唔係我哋做㗎。,It's not us who did it.
呢啲書唔係我嘅。,They aren't my books.
你可以用肉眼睇星星，用望遠鏡嘅話，仲可以睇得清楚啲添。,"You can see the stars with your naked eye, and even better through a telescope."
真係可惜！,What a shame!
呢個唔貴。,It isn't expensive.
同以前比，已經進步咗好多。,It has greatly improved compared with what it was.
嘩！咁抵？！,Wow! That's cheap!
我以為係好主意。,I thought that would be a great idea.
冇用嘅。,That won't work.
對我嚟講無咩分別。,It's the same to me.
呢個咩嚟㗎？,What is it?
個責任應該由你嚟孭。,It is you that are to blame for it.
包唔包埋早餐㗎？,Does that include breakfast?
我俾一日時間你考慮。,I'll give you a day to think about it.
決定咗我就會話俾你聽㗎喇。,I'll let you know when it has been decided.
睇吓！佢嚟咗喇！,There! She comes!
唔該你將個故事由頭到尾講晒俾我地聽。,Tell us the story from beginning to end.
話俾我聽啦，我好想知呀。,Tell me about it. I'm all ears.
個阿伯坐擁巨額身家。,The old man possesses great wealth.
架火車準時嚟到。,The train arrived on time.
架火車行緊五十咪。,The train is traveling at the rate of 50 miles an hour.
架火車每個鐘行緊五十咪。,The train is traveling at the rate of 50 miles an hour.
架火車每個鐘行緊五十英里。,The train is traveling at the rate of 50 miles an hour.
個遊樂場起咗十年先至起好。,It took ten years to build the amusement park.
我用一個字就計好咗條數。,The solution of the problem took me five minutes.
呢個問題擺埋一邊先。,That problem has been shelved for the time being.
呢個問題等下次開會先傾。,The matter will be brought up at the next meeting.
呢個問題關你事多過關我事。,The problem has more to do with you than with me.
呢樣嘢遲啲先搞。,Let's leave that matter for later.
呢樣等遲啲先。,Let's leave that matter for later.
棵樹生得好高喎。,The tree grew very tall.
你有冇睇晒成本書呀？,Did you read the whole book?
唔好意思呀，呢本書賣晒㗎喇。,"Sorry, the book is out of stock."
嗰本書有好多版。,That book had a lot of pages.
唔好挨埋埲牆度。,Don't lean against the wall.
呢種物質好輕，可以浮喺水面。,The substance is light enough to float on the water.
你做咩唔試吓條裙先買嘅？,Why didn't you try the dress on before you bought it?
間房有無浴缸㗎？,Does the room have a bath?
間房冇傢俬。,The room was devoid of furniture.
你直接撕開個箱咪得囉。,You can tear the box open.
嗰個箱細得濟喇，擺唔落呢度咁多嘢。,That is too small a box to hold all these things.
天氣每日都喺度變緊。,The weather varies from day to day.
個阿哥同個細佬一啲都唔似樣。,The two brothers are quite unlike in their appearance.
嗰班人成功噉爬咗上山頂，但係返嚟嗰陣就出咗事。,"The Alpinists carried out the ascent, but they did not return safely."
你掂嗰條電線就會觸電㗎喇。,"If you touch that wire, you will receive a shock."
單消息令佢驚訝到唔識講嘢。,"Shocked at the news, she couldn't speak."
佢有可能係俾人謀殺嘅。,There's a possibility that the man was murdered.
個人嘗試裝自己條天線。,The man tried to install his own antenna.
嗰個男人搶走咗Susan身上所有嘅錢。,The man robbed Susan of all her money.
我唔係好肯定呢個字應該點讀。,I am not sure how to pronounce the word.
啲噪音愈嚟愈大聲。,The noise is getting louder and louder.
嗰場仗死咗好多人。,"As a result of the war, many people died."
你有冇試過喺條河度溜冰呀？,Have you ever tried skating on the river?
個老師對班學生影響好大。,The teacher has a great influence on his pupils.
呢兩個學生測驗都係全部合格。,Both those students passed all the tests.
個學生俾個老師望到周身唔自在。,The student became very nervous with the teacher watching him.
唔係好多人有嚟。,There were not many present.
個城堡改造咗做一間好靚嘅博物館。,The castle was transformed into a marvelous museum.
隻大笨象好受小朋友歡迎。,The elephant is liked by little children.
嗰個男仔連自己個名都唔識寫。,The boy could not so much as write his own name.
個男仔連襪都未除就走咗去瞓覺。,The boy went to bed with his socks on.
我好後悔以前無好好咁對佢。,I wish I had treated the girl more kindly.
個女仔同佢阿媽好似樣。,The girl resembles her mother.
間屋仔睇落好似冇人住噉。,The cottage looked as if nobody were living in it.
嗰位小姐喺一個月之前搬咗嚟呢度。,The lady moved here a month ago.
個女仔一見到隻狗就喊咗出嚟。,The girl began to cry at the sight of a dog.
架車泊咗喺座大廈前面。,The car is parked in front of the building.
呢個問題好難答。,The question was too difficult to answer.
個鐘每日都會快五分鐘。,The clock gains five minutes a day.
我嗰陣時唔知點做先好。,I didn't know what to do then.
因為佢唔小心，所以先會出事。,The accident was brought about by his carelessness.
出事嗰陣巴士上面啲乘客差唔多全部都瞓晒覺。,Almost all of the passenger in the bus were asleep when the accident happened.
你千祈唔好講呢件事俾你阿爸阿媽聽。,You mustn't tell that to your parents.
佢為件玩具而好自豪。,He is very proud of his toy.
個細路一見到阿媽就喊咗出嚟。,No sooner had the child seen his mother than he burst into tears.
個家姐同個細妹好似樣。,The sisters look like each other.
我用一日時間冇可能做得晒啲嘢。,It is impossible for me to finish the work in a day.
我可唔可以睇吓本雜誌呀？,Can I have a look at the magazine?
嗰本雜誌邊度有得買㗎？,Where can I buy that magazine?
嗰位作家用過嘅傢俬全部擺晒喺呢間博物館度。,The writer's furniture is all shown in this museum.
嗰度啲風景真係靚到唔知點形容。,The beauty of the scene was beyond description.
佢串錯咗嗰隻字，就令到佢喺比賽俾人淘汰咗。,His misspelling of that word eliminated him from the contest.
跟住我好快就瞓著咗喇。,"Soon after that, I began to fall asleep."
呢個字形容得好啱。,That word describes it perfectly.
隻狗冇食到啲肉。,The dog didn't eat the meat.
唔好俾隻狗走甩。,Make sure that the dog does not escape.
嗰座建築物會喺一年之內起完。,The building will be completed in a year.
我會同我老豆傾吓呢件事㗎喇。,I'll talk the matter over with my father.
等我將我知嘅嘢話晒比你聽啦。,I'll tell you all I know about it.
佢超速駕駛，俾差佬拉咗。,The policeman arrested him for speeding.
無你幫手，個計劃就成功唔到㗎喇。,Your help is indispensable for the success of the scheme.
條橋大約有一咪長。,The bridge is approximately a mile long.
呢部機係用咗好多時間同埋錢先至起好㗎。,It took a lot of time and money to build the machine.
嗰部機發到好多電。,The machine generates a lot of electricity.
學生唔可以喺學校裏面食煙。,Students are forbidden to smoke on the school grounds.
同呢幅比起上嚟，嗰幅畫啲色靚好多。,The picture is colorful in contrast with this one.
呢啲花擺喺邊度都無所謂，顯眼就得㗎喇。,Put those flowers wherever we can see them well.
間屋喺教堂對面，你去到就會見到㗎喇。,The house is opposite the church. You can't miss it.
啲噪音搞到隻狗喺度吠。,The noise set the dog barking.
你有冇睇過嗰套戲呀？,Did you ever see that movie?
我想再睇多次套戲。,I want to see the movie again.
呢套電影啱小朋友睇。,This movie is suitable for children.
套戲同我想像中爭好遠。,The film was not what I had thought it was.
嗰位醫生係兒童疾病嘅專家。,The doctor is a great authority on children's diseases.
個委員會係由科學家同工程師組成嘅。,The committee consists of scientists and engineers.
你噉嘅諗法有冇根據㗎？,Do you have any grounds for thinking so?
喺呢種情況之下，我地冇辦法成功。,"Under such circumstances, we cannot succeed."
嗰兩個人偷偷地入咗間屋，俾人見到咗。,The two men were seen to steal into the house.
個Party一啲都唔好玩嘅。,I didn't enjoy the party at all.
消息逐漸傳開去。,The news spread little by little.
條裙你買咗幾多錢呀？,How much did you pay for the dress?
我阿媽嗰陣仲後生過我。,"At that time, my mother was younger than I am now."
你唔使擔心。,You don't need to worry about it.
唔該話我知個遊戲嘅玩法。,Tell me how to play the game.
你可唔可以帶我去呀？,Will you take me there?
企喺度嗰個邊個嚟？,Who is standing there?
我太早到。,I arrived there too early.
你最好行路去。,You'd better go there on foot.
嗰度都唔係人住嘅。,You'll find it impossible to live there.
你喺嗰度做咗啲咩呀？,What did you do there?
我唔覺得係。,"No, I don't think so."
我唔覺得係噉。,"No, I don't think so."
可以話係，亦都可以話唔係。,Yes and no.
你有冇喉糖呀？,Do you have cough drops?
唔好意思呀，我想問地鐵站點去呀？,"Excuse me, but could you tell me the way to the station?"
可唔可以較細聲啲部收音機呀？,Would you mind turning down the radio?
唔好意思，你可唔可以講多次呀？,"I'm sorry, could you repeat that please?"
唔好意思，我而家好忙呀。,"I'm sorry, I'm busy right now."
唔好意思，我蕩失咗路。,"Excuse me, I'm lost."
坐喺角落頭嗰個男人係邊個嚟㗎？,Who is the man sitting in the corner?
有五分四嘅會員反對呢個計劃。,Four-fifths of all the members were against the plan.
西班牙人最鍾意夜晚出街散吓步、唞吓涼。,Spaniards love to stroll around in the evening cool.
識返啲西班牙文嘅話，你去墨西哥實會玩得開心啲。,A little knowledge of Spanish will go a long way toward making your trip to Mexico enjoyable.
超速駕駛好危險㗎。,Driving too fast is dangerous.
你揸得太快喇。,You're driving too fast.
邊度有得買零食呀？,Where can I buy snacks?
我覺得好大壓力。,I'm feeling stressed.
喊都無謂啦。,There's no use crying over spilt milk.
已經過咗廿年喇。,Twenty years already passed.
我真係好肚餓。,I am terribly hungry.
我餓死喇。,I am terribly hungry.
呢啲煙花真係好靚呀！,These fireworks are spectacular!
你好快就會學識游水㗎喇。,You'll soon be able to swim.
你好快就會開始鍾意佢㗎喇。,You will soon get to like him.
你唔使趕住答。,You don't have to answer quickly.
你都係快啲去瞓啦，如果唔係啲感冒就會愈嚟愈勁㗎啦。,"You had better go to bed right away, or your cold will get worse."
就嚟到朝頭早嘅繁忙時段喇，我哋仲唔行就塞車㗎喇。,"If we don't hit the road soon, we'll get caught in the morning rush hour traffic."
你好快就會適應呢種新生活㗎喇。,You will soon adapt yourself to this new life.
我係咪一定要即刻去呀？,Must I go there at once?
你鍾意攞幾多就攞幾多。,Take as much as you like.
飲湯唔好飲到𠽌𠽌聲。,Do not make a noise when you eat soup.
而家啲超級市場閂晒門㗎喇，我哋惟有攞雪櫃淨返啲嘢嚟用啦。,"The supermarkets are now closed, so we'll have to make do with what is left in the refrigerator."
阿 Susan 煮嘢食好叻㗎。,Susan is a good cook.
Susan爲咗表示佢好嬲，特登打爛咗個碟。,Susan broke the dish on purpose to show her anger.
唔好意思呀，我想問吓呢條路去唔去到地鐵站㗎？,"Excuse me, but is this the right way to the subway station?"
瑞士人多數識講三、四種語言。,Most Swiss people can speak three or four languages.
瑞士啲人講咩話㗎？,What language do they speak in Switzerland?
請問你想要單人房定係雙人房呀？,Would you like a single or a double?
阿 Jill 已經同佢啲朋友煲咗兩個鐘電話粥喇！,Jill has been on the phone with friends for more than two hours!
阿John好肥，跑唔得快。,John is too fat to run fast.
阿 John 最近肥咗好多。,John has put on a lot of weight recently.
阿 John 問阿 Mary 晏晝一唔一齊去行街。,John asked Mary whether she would like to go shopping in the afternoon.
阿 John 喺個台度唱咗啲咩歌呀？,What did John sing on the stage?
詹森先生突然間改變主意，簽咗份合約。,Mr Johnson suddenly changed his mind and signed the contract.
我講啲嘢俾你聽吖。,Let me tell you something.
阿Jim嘅英文好過佢班上嘅其他同學仔。,Jim is above any of his classmates in English.
阿 Jim 好努力做嘢，但係人工就唔係好高。,"Though Jim works very hard, his job does not pay very much."
俾我諗陣先。,Let me think for a while.
我哋不如唞陣先啦。,Shall we take a short rest?
過咗一陣，嗰個人就走咗入間房度。,"After a while, the man came into the room."
悉尼噶空气比东京噶干净。,The air of Sydney is cleaner than that of Tokyo.
單身嘅人有更加大嘅自由去選擇自己想做嘅事，社交唔使處處受到束縛。,Single people enjoy more freedom to do what they want and enjoy living a less restricted social life.
但係佢好好彩。,But he was lucky.
阿 Jane 係一個有咩就講咩嘅人。,Jane calls a spade a spade.
阿 Jane 有好多衫要洗。,Jane has a lot of clothes to wash.
你仲有冇嘢問呀？,Do you have any further questions?
跟住又有三個人上咗架巴士。,Three more passengers got on the bus.
更加正嘅係間屋仲有一個好靚嘅花園。,What is still better is that the house has a beautiful garden.
我要同你講拜拜喇。,I must say good-bye to you.
你想去野生動物園就搭五號巴士啦。,"If you are going to the safari park, take the No.5 bus."
唔好俾啲差佬發現你有槍喺身。,Don't let the cops find a heater on you.
踩單車係好好嘅運動，仲唔會排放廢氣添。,"Cycling is good exercise. Moreover, it doesn't pollute the air."
入嚟啦！,Come on in!
喂，起身喇。,"Come on, get up."
快啲啦，你仲慢吞吞噉我哋就遲到㗎喇。,"Come on, we'll be late if you don't hurry up."
聽講話你病咗喎。,I hear you have been sick.
你得閒嗰陣嚟飲杯茶吖。,Why don't you drop in for tea at your convenience?
你最好唔好喺嗰啲地方度行嚟行去。,You had better not walk around in such a place.
我唔知會搞到你咁麻煩。,I had no idea it would put you to so much trouble.
我喺度搵緊我副隱形眼鏡。,I'm looking for my contact lens.
我淨係知咁多嘅唧。,Beyond this I know nothing.
呢個係咪你親手縫㗎？,Did you sew this by hand?
睇到呢個，我就會諗起媽咪。,I remember my mother when I see this.
呢啲樹係佢哋種嘅。,These trees were planted by them.
啲書邊個㗎？,Whose books are these?
